category,count_instances,count_exemplar_crops,proportion,cdi_semantic
chair,262155,0,0.10248003602662593,furniture_rooms
lamp,200703,0,0.07845759444089147,household
table,164742,0,0.0643999393301612,furniture_rooms
couch,162456,0,0.06350631013233218,furniture_rooms
pillow,143127,0,0.05595033516958627,household
cup,105120,0,0.04109287019938173,household
toy,103218,0,0.04034935194292032,toys
bed,85036,0,0.033241755234728165,furniture_rooms
bowl,84414,0,0.03299860678282543,household
plate,73273,0,0.028643434913615845,household
refrigerator,66966,0,0.026177940884434904,furniture_rooms
box,66780,0,0.02610523089720997,household
door,63790,0,0.024936398306873674,furniture_rooms
bottle,60385,0,0.02360533644396562,household
glasses,59884,0,0.023409488575150073,household
window,56701,0,0.022165209600220163,furniture_rooms
book,44679,0,0.01746564257646667,toys
hand,42068,0,0.016444966357948922,body_parts
bucket,38445,0,0.015028685262701966,household
napkin,35574,0,0.013906371427633235,household
sink,34430,0,0.013459165914808913,furniture_rooms
towel,33280,0,0.013009614918525723,household
ball,31240,0,0.012212150542510325,toys
plant,30228,0,0.011816545665781117,household
basket,29758,0,0.011632816128169726,household
blanket,28391,0,0.011098436813457445,household
oven,28160,0,0.011008135700290996,furniture_rooms
balloon,24675,0,0.009645800724598023,toys
toe,22253,0,0.008699007235034643,body_parts
drawer,20480,0,0.008005916872938907,furniture_rooms
spoon,19544,0,0.00764002145335537,household
banana,15486,0,0.006053692807340425,food_drink
hat,15168,0,0.0059293821840203775,clothing
bread,13864,0,0.005419630445626221,food_drink
slipper,13689,0,0.005351220511409213,clothing
apple,11691,0,0.004570174519605896,food_drink
clock,10896,0,0.004259397961305778,household
tray,10350,0,0.004045958966548715,household
purse,10270,0,0.004014685853763797,household
stroller,9464,0,0.0036996092424557525,vehicles
shirt,9402,0,0.003675372580047441,clothing
ladder,8488,0,0.0033180772664797575,outside
bathtub,8421,0,0.0032918860345223892,furniture_rooms
shoe,8415,0,0.0032895405510635204,clothing
orange,8009,0,0.0031308295036800637,food_drink
crib,7976,0,0.003117929344656285,furniture_rooms
fork,7873,0,0.0030776652119457034,household
egg,7526,0,0.0029420180852411234,food_drink
hair,7311,0,0.0028579715946316577,body_parts
bench,7075,0,0.0027657159119161504,furniture_rooms
pumpkin,6853,0,0.002678933023938004,food_drink
flower,6433,0,0.002514749181817187,outside
slide,5725,0,0.002237982133670666,outside
pants,5664,0,0.002214136385172166,clothing
paper,5506,0,0.0021523719874219542,household
finger,5343,0,0.0020886530201226845,body_parts
can,4817,0,0.0018830323035618512,household
vacuum,4433,0,0.0017329213621942467,household
jeans,4220,0,0.0016496566994044035,clothing
dog,4206,0,0.001644183904667043,animals
doll,3810,0,0.0014893819963817008,toys
grass,3804,0,0.001487036512922832,outside
shorts,3792,0,0.0014823455460050944,clothing
necklace,3668,0,0.0014338722211884721,clothing
cat,3609,0,0.0014108083005095954,animals
toothbrush,3430,0,0.0013408347106533423,household
sock,3369,0,0.0013169889621548426,clothing
arm,3084,0,0.0012055784978585735,body_parts
watch,3070,0,0.001200105703121213,household
scissors,3048,0,0.0011915055971053606,household
pajamas,3041,0,0.0011887691997366804,clothing
frog,2770,0,0.001082831530177772,animals
glove,2704,0,0.001057031212130215,clothing
melon,2411,0,0.0009424934365554543,food_drink
car,2324,0,0.0009084839264018563,vehicles
bib,2263,0,0.0008846381779033567,clothing
carrot,2183,0,0.0008533650651184391,food_drink
jar,2155,0,0.000842419475643718,household
tree,1929,0,0.0007540729320263257,outside
cookie,1926,0,0.0007529001902968913,food_drink
pizza,1809,0,0.0007071632628489493,food_drink
shovel,1722,0,0.0006731537526953514,outside
gum,1707,0,0.0006672900440481793,food_drink
soup,1684,0,0.0006582990241225155,food_drink
tape,1661,0,0.0006493080041968518,household
closet,1529,0,0.0005977073681017377,furniture_rooms
jacket,1252,0,0.0004894242150839605,clothing
comb,1218,0,0.0004761331421503705,household
strawberry,1130,0,0.00044173271808696117,food_drink
dress,1087,0,0.00042492341996506794,clothing
pickle,1085,0,0.000424141592145445,food_drink
mitten,1004,0,0.00039247756545071594,clothing
milk,993,0,0.0003881775124427898,food_drink
sweater,989,0,0.00038661385680354386,clothing
dish,986,0,0.00038544111507410946,household
nose,859,0,0.0003357950485280528,body_parts
broom,849,0,0.00033188590942993807,household
glass,833,0,0.00032563128687295454,household
fish,750,0,0.00029318543235860254,food_drink
foot,728,0,0.0002845853263427502,body_parts
soap,575,0,0.00022477549814159528,household
belt,558,0,0.00021812996167480027,clothing
face,557,0,0.00021773904776498882,body_parts
hose,519,0,0.00020288431919215295,outside
cracker,515,0,0.00020132066355290707,food_drink
muffin,492,0,0.00019232964362724325,food_drink
radio,414,0,0.0001618383586619486,household
tooth,410,0,0.0001602747030227027,body_parts
butterfly,386,0,0.00015089276918722744,animals
bird,375,0,0.00014659271617930127,animals
scarf,338,0,0.00013212890151627688,clothing
alligator,328,0,0.00012821976241816219,animals
mouth,318,0,0.00012431062332004747,body_parts
ear,298,0,0.00011649234512381807,body_parts
shower,296,0,0.00011571051730419513,furniture_rooms
corn,295,0,0.00011531960339438366,food_drink
hamburger,276,0,0.00010789223910796573,food_drink
motorcycle,264,0,0.0001032012721902281,vehicles
rock,254,0,9.929213309211339e-05,outside
coffee,250,0,9.772847745286751e-05,food_drink
pony,244,0,9.538299399399869e-05,animals
nail,236,0,9.225568271550693e-05,household
swing,224,0,8.756471579776929e-05,outside
sprinkler,222,0,8.678288797814635e-05,outside
chips,200,0,7.818278196229401e-05,food_drink
eye,182,0,7.114633158568755e-05,body_parts
ankle,166,0,6.489170902870402e-05,body_parts
stick,79,0,3.0882198875106135e-05,outside
sandwich,43,0,1.680929812189321e-05,food_drink
