text1,text2,clip_image_similarity,clip_text_similarity,clip_multimodal_similarity,clip-hf_image_similarity,cvcl_image_similarity,cvcl_text_similarity,cvcl_multimodal_similarity,dinov2_image_similarity,dino_say_vitb14_image_similarity,dino_imagenet100_vitb14_image_similarity,dinov3-babyview_image_similarity,dinov3_image_similarity
acorn,coconut,0.76830536,0.8180012,0.43765694,0.76827455,0.36012867,1.0000001,-0.542801,0.10177939,0.57567626,0.6150487,0.17276274,0.07703488
acorn,key,0.6277719,0.74393314,0.33533967,0.62765765,0.18223633,0.13790374,0.41180027,0.048550304,0.4094045,0.41832653,0.12208688,0.031846188
airplane,truck,0.6370235,0.838276,0.35419863,0.6372519,0.37793922,-0.014285008,0.8652203,0.06511063,0.36214346,0.28960025,0.115209855,0.025456972
balloon,dresser,0.5211465,0.6946648,0.358182,0.52123094,0.026907206,0.14301525,-0.42429638,0.025832353,0.35361922,0.37189105,0.022357278,0.026860073
balloon,kite,0.7434973,0.809922,0.4707225,0.7435513,0.23022191,-0.0048966743,0.23167425,0.22995667,0.46991238,0.43171576,0.3849809,0.29193485
bathtub,shower,0.8369467,0.8186775,0.4678834,0.8369693,0.19296072,-0.010563478,0.41607887,0.23407345,0.4679213,0.56376845,0.09365446,0.22699802
bathtub,sock,0.6293816,0.7222743,0.35664427,0.6295746,0.18294057,-0.021110527,0.45114475,0.03711717,0.3565646,0.44077235,-0.0018392141,-0.041513182
bulldozer,orange,0.5279515,0.70902663,0.37491226,0.52790976,-0.036046635,0.023207186,-0.828354,0.030298159,0.43429518,0.3481609,-0.012477008,0.07351714
bulldozer,tractor,0.7183089,0.8580154,0.41160733,0.7182874,0.4597678,0.103927255,0.45308548,0.3177008,0.58676636,0.6856927,0.19453503,0.20933999
butter,cheese,0.8467849,0.9052188,0.41349906,0.84673566,0.3506777,0.10390703,0.50439477,0.32200164,0.6018176,0.64900887,0.22569981,0.37577754
butterfly,duck,0.6880346,0.81565607,0.43588603,0.6876317,-0.0015870798,0.08015081,-0.19493508,0.037078176,0.41729492,0.3776027,0.17618133,0.08350915
camel,elephant,0.7319567,0.8610317,0.40746987,0.7318271,0.3062651,0.1303053,0.7822985,0.049567297,0.6122952,0.47576857,0.22864896,0.027758405
camel,ladybug,0.677269,0.6917408,0.341321,0.6773879,0.15788512,0.04373814,0.5859438,0.0306068,0.5242331,0.410221,0.24915875,0.059236504
car,truck,0.451977,0.91985,0.45836926,0.45177624,0.1808868,0.15277883,0.617762,-0.03332644,0.5606963,0.4948489,0.13553055,-0.036611166
cheese,butter,0.8467849,0.9052188,0.53189707,0.84673566,0.3506777,0.10390703,0.5047586,0.32200164,0.6018176,0.64900887,0.22569981,0.37577754
cheese,mud,0.4920145,0.78450394,0.4523723,0.4920164,0.11847068,0.049014356,0.23209774,0.040213663,0.38001123,0.47247586,0.09641409,0.029730378
chicken,duck,0.7320252,0.9073898,0.43910426,0.73178893,0.16843559,0.18950023,0.5993848,0.045424722,0.45197403,0.46788925,0.13398896,-0.018838711
cloud,tree,0.8773045,0.7831786,0.4331795,0.8773727,0.34813935,-0.06437087,5.4157643,0.31845978,0.54027605,0.53540796,0.16361451,0.2176698
cloud,zipper,0.66522264,0.70995253,0.3887242,0.6650652,0.14485753,0.057497755,0.852244,0.01095394,0.33321297,0.3415952,-0.041085273,0.017698502
coconut,acorn,0.76830536,0.8180012,0.46192998,0.76827455,0.36012867,1.0000001,1.5428009,0.10177939,0.57567626,0.6150487,0.17276274,0.07703488
cow,snail,0.6559297,0.79200166,0.3746339,0.65570885,-0.04869842,0.03850634,3.7842119,-0.007185899,0.43637788,0.3015484,0.17456938,0.028164463
crow,penguin,0.7175221,0.8387593,0.40097946,0.7176356,0.4379213,0.18557669,0.52872086,0.034446012,0.61975616,0.54521364,0.2330681,0.08285584
crow,seahorse,0.6071421,0.6407707,0.35321802,0.60731333,0.14493406,1.0000001,0.5969367,0.024418425,0.49033222,0.36501026,0.19340116,0.04592281
dresser,balloon,0.5211465,0.6946648,0.40435147,0.52123094,0.026907206,0.14301525,-0.14787066,0.025832353,0.35361922,0.37189105,0.022357278,0.026860073
duck,butterfly,0.6880346,0.81565607,0.34421408,0.6876317,-0.0015870798,0.08015081,0.12851822,0.037078176,0.41729492,0.3776027,0.17618133,0.08350915
duck,chicken,0.7320252,0.9073898,0.42133868,0.73178893,0.16843559,0.18950023,0.043734312,0.045424722,0.45197403,0.46788925,0.13398896,-0.018838711
eagle,squirrel,0.6723669,0.8156052,0.37941575,0.6722173,0.19515395,0.17859629,-2.8114097,0.043263514,0.5845441,0.49136305,0.30341032,0.05754377
elephant,camel,0.7319567,0.8610317,0.4216367,0.7318271,0.3062651,0.1303053,-1.3373086,0.049567297,0.6122952,0.47576857,0.22864896,0.027758405
frog,turtle,0.75582284,0.885551,0.3884741,0.75590277,0.270215,-0.055920783,0.10132384,0.0027640918,0.49162737,0.45684123,0.091506094,0.023409791
glasses,potato,0.5523288,0.76075405,0.41058064,0.5526425,0.16963245,0.071500845,0.35005337,-0.0011246721,0.30853602,0.33464766,0.010601615,0.051767617
goat,turkey,0.7289519,0.83774143,0.42413342,0.72878647,0.13086192,0.25035784,-0.10587776,0.06715921,0.47468764,0.4545294,0.13114952,0.07766692
horse,turtle,0.6487,0.8338581,0.3800261,0.6489605,0.16780835,0.12650073,0.96193284,0.037695758,0.4537802,0.42826226,0.08219071,-0.07625065
key,acorn,0.6277719,0.74393314,0.4432199,0.62765765,0.18223633,0.13790374,0.44461328,0.048550304,0.4094045,0.41832653,0.12208688,0.031846188
kite,balloon,0.7434973,0.809922,0.41037345,0.7435513,0.23022191,-0.0048966743,0.7118031,0.22995667,0.46991238,0.43171576,0.3849809,0.29193485
ladybug,camel,0.677269,0.6917408,0.34700787,0.6773879,0.15788512,0.04373814,-0.02994883,0.0306068,0.5242331,0.410221,0.24915875,0.059236504
lizard,snake,0.810047,0.9104703,0.4518652,0.81005335,0.25290066,0.16679953,0.4238128,0.078161485,0.4753107,0.6182666,0.20373487,0.03696891
lizard,walrus,0.61177844,0.6958096,0.37228292,0.61216486,0.020013513,1.0,0.37917376,0.0820177,0.5251311,0.41274545,0.18275702,-0.03151786
monkey,squirrel,0.6986867,0.87111175,0.45767057,0.6984696,0.3168342,0.04259083,-11.064092,0.04521173,0.6550053,0.64169407,0.30306786,0.13325512
