word1,word2,image_similarity
turkey,swan,0.5828217267990112
turtle,horse,0.6040151119232178
cheese,mud,0.5704818964004517
squirrel,eagle,0.819921612739563
potato,glasses,0.5264421701431274
bulldozer,orange,0.476493239402771
snail,cow,0.5955331921577454
acorn,key,0.6141759157180786
turkey,goat,0.6714050769805908
turtle,frog,0.6473049521446228
cheese,butter,0.8161566257476807
squirrel,monkey,0.819932222366333
potato,pot,0.5018419623374939
bulldozer,tractor,0.7533508539199829
snail,worm,0.5252390503883362
acorn,coconut,0.7385754585266113
