text1,text2,layer0_image_similarity,layer1_image_similarity,layer2_image_similarity,layer3_image_similarity,layer4_image_similarity,layer5_image_similarity,layer6_image_similarity,layer7_image_similarity,layer8_image_similarity,layer9_image_similarity,layer10_image_similarity,layer11_image_similarity,layer12_image_similarity
acorn,coconut,0.90717196,0.9475215,0.8329039,0.8128962,0.780565,0.748366,0.71612364,0.7788396,0.74843764,0.7346341,0.79568577,0.8102471,0.93459284
acorn,key,0.36861858,0.84703183,0.7330903,0.7215691,0.64503115,0.5209452,0.51257586,0.590956,0.527956,0.46808264,0.58193254,0.681022,0.892479
airplane,truck,0.81765366,0.8755978,0.7689569,0.7757703,0.72649056,0.62129647,0.5600471,0.5932281,0.47361106,0.3824908,0.5355161,0.6474569,0.87966734
balloon,dresser,0.3702694,0.72651875,0.575856,0.611107,0.4555285,0.34302285,0.35726768,0.45989862,0.32444236,0.32052925,0.39671233,0.53936404,0.85152787
balloon,kite,0.6953552,0.8339759,0.7992296,0.7629469,0.68624514,0.6049874,0.5571176,0.5990666,0.52036643,0.5275612,0.65474874,0.75307924,0.8701093
bathtub,shower,0.75249124,0.8824901,0.7506308,0.72707725,0.64423823,0.6171306,0.6101437,0.678098,0.5867234,0.597596,0.7341199,0.81183666,0.9379827
bathtub,sock,0.9211118,0.93730366,0.81090283,0.7438293,0.6727413,0.6175086,0.5085897,0.54800314,0.434587,0.40284094,0.45184878,0.6126293,0.862068
bulldozer,orange,0.8397918,0.8562697,0.6456449,0.6370345,0.49915668,0.3329937,0.28877106,0.31858,0.14163387,0.17828454,0.24322444,0.37015355,0.80641633
bulldozer,tractor,0.77981293,0.8340848,0.6776523,0.7401135,0.644724,0.6445689,0.6615618,0.6708375,0.5771326,0.57927895,0.6608398,0.67961544,0.89615124
butter,cheese,0.86031824,0.9535744,0.90475154,0.8962376,0.829597,0.74449134,0.65946084,0.6378066,0.5748588,0.5661157,0.6905049,0.75043064,0.9235439
butterfly,duck,0.76771283,0.84096223,0.6808679,0.69636047,0.5600598,0.4859234,0.49809292,0.5996725,0.4949957,0.4706732,0.46231127,0.5918539,0.8699701
camel,elephant,0.8785971,0.9495181,0.87568086,0.85329694,0.7863662,0.7675647,0.7317659,0.76211697,0.72696036,0.7106819,0.6287505,0.6672962,0.89194757
camel,ladybug,0.542956,0.8262526,0.726837,0.7002961,0.57786787,0.5242174,0.4865025,0.5442798,0.4312007,0.49148813,0.6745926,0.73432213,0.907339
car,truck,0.781838,0.89627045,0.7235196,0.76695,0.692522,0.63913184,0.59385526,0.64890236,0.5553194,0.50926065,0.5401596,0.62114704,0.8851174
cheese,butter,0.86031824,0.9535744,0.90475154,0.8962376,0.829597,0.74449134,0.65946084,0.6378066,0.5748588,0.5661157,0.6905049,0.75043064,0.9235439
cheese,mud,0.91473603,0.8990091,0.6308613,0.6205616,0.54531074,0.45189458,0.43371585,0.5130968,0.33753857,0.38658997,0.49350688,0.5498598,0.8680586
chicken,duck,0.8280519,0.8073052,0.48804808,0.5670693,0.48408142,0.4464192,0.49857414,0.59079623,0.50155234,0.5336689,0.4971656,0.5929159,0.87429565
cloud,tree,0.84070593,0.9192769,0.8444676,0.8243728,0.78429216,0.73478293,0.6611446,0.72755975,0.64522636,0.7137286,0.7467511,0.78492385,0.8977441
cloud,zipper,0.41752195,0.7745334,0.6232246,0.56776315,0.5365959,0.46318924,0.3949795,0.4775732,0.30184227,0.3997237,0.4987111,0.5969337,0.81918657
coconut,acorn,0.90717196,0.9475215,0.8329039,0.8128962,0.780565,0.748366,0.71612364,0.7788396,0.74843764,0.7346341,0.79568577,0.8102471,0.93459284
cow,snail,0.88877356,0.9223459,0.77742314,0.6583766,0.5580782,0.51306456,0.4954408,0.53889924,0.3959207,0.41087484,0.5022534,0.5817031,0.86568034
crow,penguin,0.7579559,0.7910591,0.6779544,0.71480584,0.65004665,0.6343507,0.64502233,0.67524326,0.583349,0.5701722,0.64973575,0.71191114,0.90962374
crow,seahorse,0.40479708,0.67332846,0.49958205,0.5212808,0.4978568,0.50221163,0.52903247,0.6267715,0.56129134,0.5153623,0.6330971,0.71617144,0.9042101
dresser,balloon,0.3702694,0.72651875,0.575856,0.611107,0.4555285,0.34302285,0.35726768,0.45989862,0.32444236,0.32052925,0.39671233,0.53936404,0.85152787
duck,butterfly,0.76771283,0.84096223,0.6808679,0.69636047,0.5600598,0.4859234,0.49809292,0.5996725,0.4949957,0.4706732,0.46231127,0.5918539,0.8699701
