image_similarity,text1,epoch,text2,text_similarity,multimodal_similarity
0.20205432,turkey,1,swan,0.35201645,0.38754505
0.09636785,turtle,1,horse,0.2548704,-0.09930825
0.09323908,cheese,1,mud,0.29540494,0.29524636
0.39357847,squirrel,1,eagle,0.56349885,0.3908143
-0.07410606,potato,1,glasses,0.21513185,-0.029042125
0.1281758,bulldozer,1,orange,0.24083573,0.28016478
0.034330986,snail,1,cow,0.29357386,0.11696559
0.3442571,acorn,1,key,0.5617811,0.18876839
0.18584055,turkey,1,goat,0.51042587,0.36930108
0.18241589,turtle,1,frog,0.7503688,0.46418315
0.55449754,cheese,1,butter,0.789689,0.56592935
0.609826,squirrel,1,monkey,0.67475736,0.50745904
-0.03704271,potato,1,pot,0.4909089,-0.014369845
0.45234525,bulldozer,1,tractor,0.5534101,0.27686483
0.36483482,snail,1,worm,0.80277276,0.44486886
0.40323505,acorn,1,coconut,0.7092668,0.4849156
0.04457908,balloon,1,dresser,0.16056739,-0.037202716
0.5412648,balloon,1,kite,0.71563506,0.445212
0.05827268,bathtub,1,sock,0.17131844,0.10384619
0.22342521,bathtub,1,shower,0.6779262,0.45144123
0.13011983,camel,1,ladybug,0.11549454,0.017894387
0.56582785,camel,1,elephant,0.71726835,0.5056046
-0.088235304,cloud,1,zipper,0.11672691,0.086223364
0.3231422,cloud,1,tree,0.34047955,0.31174594
0.35891783,crow,1,seahorse,0.41092739,0.26894623
0.56561184,crow,1,penguin,0.58433914,0.48493028
0.016421579,duck,1,butterfly,0.29049423,0.065950155
0.19501393,duck,1,chicken,0.5096635,0.3696763
0.20222868,lizard,1,walrus,0.5166663,0.30855817
0.53605604,lizard,1,snake,0.91207325,0.40779966
0.036059197,truck,1,airplane,0.53461176,0.046314716
0.32789555,truck,1,car,0.6579543,-0.010290146
0.20205432,swan,1,turkey,0.35201645,0.15724665
0.09636785,horse,1,turtle,0.2548704,0.2508623
0.09323908,mud,1,cheese,0.29540494,0.041735828
0.39357847,eagle,1,squirrel,0.56349885,0.45302588
-0.07410606,glasses,1,potato,0.21513185,-0.014298558
0.1281758,orange,1,bulldozer,0.24083573,0.12503052
0.034330986,cow,1,snail,0.29357386,0.11902982
0.3442571,key,1,acorn,0.5617811,0.5974069
0.18584055,goat,1,turkey,0.51042587,0.46275324
0.18241589,frog,1,turtle,0.7503688,0.3410169
0.55449754,butter,1,cheese,0.789689,0.43429613
0.609826,monkey,1,squirrel,0.67475736,0.53458095
-0.03704271,pot,1,potato,0.4909089,0.41465133
0.45234525,tractor,1,bulldozer,0.5534101,0.4099028
0.36483482,worm,1,snail,0.80277276,0.5001789
0.40323505,coconut,1,acorn,0.7092668,0.3521468
0.04457908,dresser,1,balloon,0.16056739,-0.0478729
0.5412648,kite,1,balloon,0.71563506,0.40229023
0.05827268,sock,1,bathtub,0.17131844,0.16845542
0.22342521,shower,1,bathtub,0.6779262,0.31431156
0.13011983,ladybug,1,camel,0.11549454,0.1523087
0.56582785,elephant,1,camel,0.71726835,0.38414192
-0.088235304,zipper,1,cloud,0.11672691,-0.029606462
0.3231422,tree,1,cloud,0.34047955,0.18705845
0.35891783,seahorse,1,crow,0.41092739,0.34881192
0.56561184,penguin,1,crow,0.58433914,0.38783228
0.016421579,butterfly,1,duck,0.29049423,0.21602935
0.19501393,chicken,1,duck,0.5096635,0.31791967
0.20222868,walrus,1,lizard,0.5166663,0.3633548
0.53605604,snake,1,lizard,0.91207325,0.5384796
0.036059197,airplane,1,truck,0.53461176,0.104994714
0.32789555,car,1,truck,0.6579543,0.4194919
0.29054463,turkey,2,swan,0.42072216,0.3244964
0.16149189,turtle,2,horse,0.34448656,-0.8040949
0.22785825,cheese,2,mud,0.23129517,0.2664926
0.3482017,squirrel,2,eagle,0.38003206,0.22593373
0.09870349,potato,2,glasses,0.20947127,-0.22857296
0.25651762,bulldozer,2,orange,0.2792904,0.03378445
0.23260613,snail,2,cow,0.30837524,-0.24146163
0.1740406,acorn,2,key,0.43616042,0.067043066
0.41547367,turkey,2,goat,0.4684198,0.28187734
0.47341573,turtle,2,frog,0.7006369,0.4970131
0.6287198,cheese,2,butter,0.63505024,0.4879275
0.5196286,squirrel,2,monkey,0.6207819,0.4183569
0.11397047,potato,2,pot,0.453036,0.07368827
0.48978606,bulldozer,2,tractor,0.63984144,0.26987064
0.42442816,snail,2,worm,0.67712575,0.3274027
0.56486183,acorn,2,coconut,0.58976936,0.4382692
0.1446913,balloon,2,dresser,0.30129942,-0.11030197
0.5258137,balloon,2,kite,0.5382597,0.4452933
0.18507484,bathtub,2,sock,0.27169853,-0.20969117
0.56878716,bathtub,2,shower,0.6281151,0.33855152
0.15192384,camel,2,ladybug,0.23208481,-0.22708082
0.49609694,camel,2,elephant,0.58339655,0.3622297
0.14749114,cloud,2,zipper,0.31638938,0.09430802
0.49851853,cloud,2,tree,0.46659446,0.34561443
0.28419915,crow,2,seahorse,0.34064674,0.18274891
0.44848585,crow,2,penguin,0.58597285,0.25591123
0.2521048,duck,2,butterfly,0.4867516,0.09564185
0.31231463,duck,2,chicken,0.6661704,0.43747967
0.28419557,lizard,2,walrus,0.40344632,0.21832901
0.5539709,lizard,2,snake,0.75647146,0.44224435
0.34795734,truck,2,airplane,0.5144964,0.2170369
