word1,word2,image_similarity
turkey,swan,0.4504793584346771
turtle,horse,0.4373730421066284
cheese,mud,0.43022456765174866
squirrel,eagle,0.7049386501312256
potato,glasses,0.4185955822467804
bulldozer,orange,0.42168140411376953
snail,cow,0.4836062788963318
acorn,key,0.39766913652420044
turkey,goat,0.5679070353507996
turtle,frog,0.5047401189804077
cheese,butter,0.666372537612915
squirrel,monkey,0.6655685901641846
potato,pot,0.39449840784072876
bulldozer,tractor,0.6723644733428955
snail,worm,0.4757891893386841
acorn,coconut,0.691016674041748
