target,distractor,image_similarity,text_similarity,distractor_image_to_word_similarity,luce,softmax_logit_scale_10,softmax_logit_scale_100,stimuli_id,row_id
turkey,swan,0.72705078125,0.85498046875,0.2357177734375,0.40781414994720167,0.255615234375,2.2470951080322266e-05,247514,247514_0
swan,turkey,0.72705078125,0.85498046875,0.232421875,0.41301518438177875,0.273681640625,5.739927291870117e-05,247514,247514_1
turtle,horse,0.6337890625,0.83447265625,0.175537109375,0.3814323607427056,0.251708984375,1.8656253814697266e-05,318031,318031_0
horse,turtle,0.6337890625,0.83447265625,0.1861572265625,0.37756870512503093,0.230224609375,5.662441253662109e-06,318031,318031_1
cheese,mud,0.45068359375,0.78466796875,0.2152099609375,0.4480304955527319,0.37744140625,0.00669097900390625,108177,108177_0
mud,cheese,0.45068359375,0.78466796875,0.156005859375,0.32354430379746835,0.1539306640625,5.960464477539063e-08,108177,108177_1
squirrel,eagle,0.6640625,0.81591796875,0.2017822265625,0.4048493754592212,0.279541015625,7.724761962890625e-05,756250,756250_0
eagle,squirrel,0.6640625,0.81591796875,0.18798828125,0.3759765625,0.2239990234375,4.0531158447265625e-06,756250,756250_1
potato,glasses,0.53955078125,0.7607421875,0.1951904296875,0.3951074870274277,0.26123046875,3.11732292175293e-05,415297,415297_0
glasses,potato,0.53955078125,0.7607421875,0.218994140625,0.41896310135450726,0.30029296875,0.00020992755889892578,415297,415297_1
bulldozer,orange,0.5078125,0.70947265625,0.1898193359375,0.3762400193563997,0.2232666015625,3.874301910400391e-06,502140,502140_0
orange,bulldozer,0.5078125,0.70947265625,0.15673828125,0.334549244398124,0.1751708984375,1.7881393432617188e-07,502140,502140_1
snail,cow,0.64599609375,0.7919921875,0.17919921875,0.34171322160148976,0.160400390625,5.960464477539063e-08,162500,162500_0
cow,snail,0.64599609375,0.7919921875,0.192626953125,0.3757142857142857,0.2181396484375,2.9206275939941406e-06,162500,162500_1
acorn,key,0.61572265625,0.74462890625,0.17626953125,0.33519034354688954,0.1505126953125,5.960464477539063e-08,94476,94476_0
key,acorn,0.61572265625,0.74462890625,0.2305908203125,0.43879210220673637,0.34423828125,0.0015974044799804688,94476,94476_1
turkey,goat,0.72412109375,0.83740234375,0.216064453125,0.3869698294709226,0.219970703125,3.159046173095703e-06,69746,69746_0
goat,turkey,0.72412109375,0.83740234375,0.2261962890625,0.42393045069778085,0.30810546875,0.00030541419982910156,69746,69746_1
turtle,frog,0.73974609375,0.88671875,0.254638671875,0.4721593481213219,0.42578125,0.048126220703125,20779,20779_0
frog,turtle,0.73974609375,0.88671875,0.1964111328125,0.3866858928142273,0.240234375,9.953975677490234e-06,20779,20779_1
cheese,butter,0.8427734375,0.9052734375,0.3037109375,0.5339055793991416,0.595703125,0.9794921875,421098,421098_0
butter,cheese,0.8427734375,0.9052734375,0.228515625,0.4114285714285714,0.27197265625,5.3048133850097656e-05,421098,421098_1
squirrel,monkey,0.68408203125,0.87109375,0.204345703125,0.40789473684210525,0.28466796875,9.918212890625e-05,576089,576089_0
monkey,squirrel,0.68408203125,0.87109375,0.236328125,0.45595854922279794,0.38720703125,0.01016998291015625,576089,576089_1
potato,pot,0.583984375,0.81982421875,0.182861328125,0.3796249366447035,0.23828125,9.059906005859375e-06,962545,962545_0
pot,potato,0.583984375,0.81982421875,0.235595703125,0.4569128787878788,0.390869140625,0.011505126953125,962545,962545_1
bulldozer,tractor,0.69091796875,0.85791015625,0.2117919921875,0.40227220032460004,0.263671875,3.427267074584961e-05,303432,303432_0
tractor,bulldozer,0.69091796875,0.85791015625,0.24560546875,0.4574806730331969,0.38720703125,0.010009765625,303432,303432_1
snail,worm,0.68896484375,0.89013671875,0.2364501953125,0.40650577124868836,0.252685546875,1.9252300262451172e-05,839335,839335_0
worm,snail,0.68896484375,0.89013671875,0.274169921875,0.4677217825905873,0.406982421875,0.0226287841796875,839335,839335_1
acorn,coconut,0.76220703125,0.818359375,0.2705078125,0.43622047244094486,0.312255859375,0.0003859996795654297,802331,802331_0
coconut,acorn,0.76220703125,0.818359375,0.2763671875,0.45811412383650346,0.376220703125,0.006290435791015625,802331,802331_1
