"","local_id","survey_type","percentile_rank","vocabulary_score","duration_days","duration_weeks"
"1","VVI142","1",20,3,0,0
"2","VVI146","1",50,25,19,3
"3","VVI162","1",30,11,13,2
"4","VVI193","1",5,0,0,0
"5","VVI196","1",45,10,15,2
"6","VVI213","1",85,33,42,6
"7","VVI223","1",65,20,21,3
"8","VVI160","1",15,6,14,2
"9","VVI164","1",40,11,11,2
"10","VVI183","1",5,0,0,0
"11","VVI186","1",15,2,0,0
"12","VVI197","1",5,0,16,2
"13","VVI201","1",15,1,1,0
"14","VVI221","1",15,1,0,0
"15","VVI230","1",0,0,0,0
"16","VVI141","2A",55,77,22,3
"17","VVI143","2A",45,58,21,3
"18","VVI147","2A",20,32,26,4
"19","VVI148","2A",75,67,0,0
"20","VVI152","2A",45,42,0,0
"21","VVI153","2A",5,15,17,2
"22","VVI157","2A",45,52,0,0
"23","VVI170","2A",0,15,36,5
"24","VVI172","2A",25,45,35,5
"25","VVI173","2A",0,6,0,0
"26","VVI176","2A",20,50,0,0
"27","VVI181","2A",20,39,0,0
"28","VVI199","2A",60,44,6,1
"29","VVI200","2A",60,57,5,1
"30","VVI212","2A",10,54,0,0
"31","VVI216","2A",70,74,37,5
"32","VVI218","2A",40,56,0,0
"33","VVI139","2A",50,38,24,3
"34","VVI140","2A",25,21,23,3
"35","VVI154","2A",35,27,17,2
"36","VVI155","2A",65,41,16,2
"37","VVI159","2A",35,27,14,2
"38","VVI161","2A",50,40,14,2
"39","VVI165","2A",5,13,10,1
"40","VVI174","2A",5,10,0,0
"41","VVI175","2A",55,34,38,5
"42","VVI177","2A",20,13,0,0
"43","VVI180","2A",85,88,23,3
"44","VVI182","2A",15,15,20,3
"45","VVI190","2A",10,6,11,2
"46","VVI217","2A",45,31,0,0
"47","VVI224","2A",40,31,25,4
"48","VVI227","2A",35,51,0,0
