"","word","word_type","survey_type","type","value","responded","duration_in_seconds","StartDate","local_id","age_rounded","gender","date_created"
"1","sock","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"2","sock","extra_words","1","understands",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"3","sock","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"4","sock","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"5","sock","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"6","sock","extra_words","1","understands",1,1,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"7","sock","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"8","sock","extra_words","1","understands",1,1,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"9","sock","extra_words","1","produces",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"10","sock","extra_words","1","understands",1,1,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"11","sock","extra_words","1","produces",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"12","sock","extra_words","1","understands",1,1,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"13","sock","extra_words","1","produces",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"14","sock","extra_words","1","understands",1,1,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"15","sock","extra_words","1","produces",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"16","sock","extra_words","1","understands",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"17","sock","extra_words","1","produces",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"18","sock","extra_words","1","understands",1,1,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"19","sock","extra_words","1","produces",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"20","sock","extra_words","1","understands",1,1,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"21","sock","extra_words","1","produces",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"22","sock","extra_words","1","understands",1,1,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"23","cloud","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"24","cloud","extra_words","1","understands",1,1,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"25","cloud","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"26","cloud","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"27","cloud","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"28","cloud","extra_words","1","understands",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"29","cloud","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"30","cloud","extra_words","1","understands",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"31","cloud","extra_words","1","produces",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"32","cloud","extra_words","1","understands",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"33","cloud","extra_words","1","produces",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"34","cloud","extra_words","1","understands",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"35","cloud","extra_words","1","produces",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"36","cloud","extra_words","1","understands",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"37","cloud","extra_words","1","produces",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"38","cloud","extra_words","1","understands",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"39","cloud","extra_words","1","produces",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"40","cloud","extra_words","1","understands",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"41","cloud","extra_words","1","produces",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"42","cloud","extra_words","1","understands",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"43","cloud","extra_words","1","produces",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"44","cloud","extra_words","1","understands",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"45","tree","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"46","tree","extra_words","1","understands",1,1,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"47","tree","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"48","tree","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"49","tree","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"50","tree","extra_words","1","understands",1,1,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"51","tree","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
