"","word","word_type","survey_type","type","value","responded","duration_in_seconds","StartDate","local_id","age_rounded","gender","date_created"
"1","sock","extra_words","1","produces",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"2","sock","extra_words","1","understands",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"3","sock","extra_words","1","produces",NA,0,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"4","sock","extra_words","1","understands",1,1,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"5","sock","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"6","sock","extra_words","1","understands",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"7","sock","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"8","sock","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"9","sock","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"10","sock","extra_words","1","understands",1,1,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"11","sock","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"12","sock","extra_words","1","understands",1,1,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"13","sock","extra_words","1","produces",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"14","sock","extra_words","1","understands",1,1,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"15","sock","extra_words","1","produces",NA,0,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"16","sock","extra_words","1","understands",1,1,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"17","sock","extra_words","1","produces",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"18","sock","extra_words","1","understands",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"19","sock","extra_words","1","produces",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"20","sock","extra_words","1","understands",1,1,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"21","sock","extra_words","1","produces",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"22","sock","extra_words","1","understands",1,1,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"23","sock","extra_words","1","produces",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"24","sock","extra_words","1","understands",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"25","sock","extra_words","1","produces",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"26","sock","extra_words","1","understands",1,1,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"27","sock","extra_words","1","produces",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"28","sock","extra_words","1","understands",1,1,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"29","sock","extra_words","1","produces",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"30","sock","extra_words","1","understands",1,1,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"31","cloud","extra_words","1","produces",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"32","cloud","extra_words","1","understands",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"33","cloud","extra_words","1","produces",NA,0,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"34","cloud","extra_words","1","understands",1,1,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"35","cloud","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"36","cloud","extra_words","1","understands",1,1,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"37","cloud","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"38","cloud","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"39","cloud","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"40","cloud","extra_words","1","understands",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"41","cloud","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"42","cloud","extra_words","1","understands",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"43","cloud","extra_words","1","produces",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"44","cloud","extra_words","1","understands",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"45","cloud","extra_words","1","produces",NA,0,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"46","cloud","extra_words","1","understands",NA,0,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"47","cloud","extra_words","1","produces",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"48","cloud","extra_words","1","understands",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"49","cloud","extra_words","1","produces",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"50","cloud","extra_words","1","understands",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"51","cloud","extra_words","1","produces",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"52","cloud","extra_words","1","understands",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"53","cloud","extra_words","1","produces",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"54","cloud","extra_words","1","understands",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"55","cloud","extra_words","1","produces",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"56","cloud","extra_words","1","understands",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"57","cloud","extra_words","1","produces",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"58","cloud","extra_words","1","understands",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"59","cloud","extra_words","1","produces",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"60","cloud","extra_words","1","understands",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"61","tree","extra_words","1","produces",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"62","tree","extra_words","1","understands",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"63","tree","extra_words","1","produces",NA,0,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"64","tree","extra_words","1","understands",1,1,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"65","tree","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"66","tree","extra_words","1","understands",1,1,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"67","tree","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"68","tree","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"69","tree","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"70","tree","extra_words","1","understands",1,1,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"71","tree","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"72","tree","extra_words","1","understands",1,1,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"73","tree","extra_words","1","produces",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"74","tree","extra_words","1","understands",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"75","tree","extra_words","1","produces",NA,0,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"76","tree","extra_words","1","understands",1,1,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"77","tree","extra_words","1","produces",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"78","tree","extra_words","1","understands",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"79","tree","extra_words","1","produces",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"80","tree","extra_words","1","understands",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"81","tree","extra_words","1","produces",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"82","tree","extra_words","1","understands",1,1,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"83","tree","extra_words","1","produces",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"84","tree","extra_words","1","understands",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"85","tree","extra_words","1","produces",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"86","tree","extra_words","1","understands",1,1,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"87","tree","extra_words","1","produces",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"88","tree","extra_words","1","understands",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"89","tree","extra_words","1","produces",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"90","tree","extra_words","1","understands",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"91","zipper","extra_words","1","produces",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"92","zipper","extra_words","1","understands",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"93","zipper","extra_words","1","produces",NA,0,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"94","zipper","extra_words","1","understands",1,1,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"95","zipper","extra_words","1","produces",NA,0,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"96","zipper","extra_words","1","understands",1,1,"245","2026-04-29 06:56:14","VVI196",450,"f","4/14/26"
"97","zipper","extra_words","1","produces",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"98","zipper","extra_words","1","understands",NA,0,"104","2026-03-29 15:34:33","VVI183",420,"m","3/29/26"
"99","zipper","extra_words","1","produces",NA,0,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"100","zipper","extra_words","1","understands",1,1,"125","2026-04-30 08:46:28","VVI197",450,"m","4/14/26"
"101","zipper","extra_words","1","produces",NA,0,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"102","zipper","extra_words","1","understands",1,1,"213","2026-02-15 21:07:24","VVI142",450,"f","2/16/26"
"103","zipper","extra_words","1","produces",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"104","zipper","extra_words","1","understands",NA,0,"76","2026-04-02 15:03:35","VVI186",450,"m","2/26/04"
"105","zipper","extra_words","1","produces",NA,0,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"106","zipper","extra_words","1","understands",NA,0,"3259","2026-06-30 07:13:02","VVI213",450,"f","5/19/26"
"107","zipper","extra_words","1","produces",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"108","zipper","extra_words","1","understands",NA,0,"53","2026-06-03 07:26:29","VVI221",420,"m","3/26/06"
"109","zipper","extra_words","1","produces",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"110","zipper","extra_words","1","understands",NA,0,"223","2026-03-09 15:51:32","VVI162",510,"f","2/24/26"
"111","zipper","extra_words","1","produces",NA,0,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"112","zipper","extra_words","1","understands",1,1,"207","2026-04-08 10:48:19","VVI193",450,"f","8/26/04"
"113","zipper","extra_words","1","produces",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"114","zipper","extra_words","1","understands",NA,0,"131","2026-04-28 16:52:20","VVI201",420,"m","4/27/26"
"115","zipper","extra_words","1","produces",NA,0,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"116","zipper","extra_words","1","understands",1,1,"216","2026-03-08 20:15:37","VVI146",510,"f","2/17/26"
"117","zipper","extra_words","1","produces",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"118","zipper","extra_words","1","understands",NA,0,"179","2026-03-09 12:13:10","VVI160",510,"m","2/23/26"
"119","zipper","extra_words","1","produces",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"120","zipper","extra_words","1","understands",NA,0,"102","2026-03-08 18:49:54","VVI164",480,"m","2/25/26"
"121","crow","extra_words","1","produces",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"122","crow","extra_words","1","understands",NA,0,"32","2026-07-12 15:42:16","VVI230",510,"m","7/12/26"
"123","crow","extra_words","1","produces",NA,0,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
"124","crow","extra_words","1","understands",1,1,"199","2026-06-29 18:15:46","VVI223",450,"f","8/26/06"
