,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.article_length,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,dKKWAR,hard-turkey-goat-distractor,2025-01-23 19:26:07.634,1.0,2025-01-23 19:26:15.214,450,m,goat,turkey,goat,find,hard-distractor,2,3.167748,4.047907,0.187,10,40 or more weeks,en,,1
0,YK3WN6,easy-snail-cow,2025-01-27 22:37:21.140,91.0,2025-01-27 22:37:28.490,720,m,cow,snail,snail,see,easy,2,3.1087480000000003,3.988907,0.128,10,39 weeks,en,,1
0,QEKHZQ,easy-cheese-mud-distractor,2025-01-26 21:14:27.789,3.0,2025-01-26 21:14:35.074,480,f,cheese,mud,mud,look_at,easy-distractor,2,3.135748,4.015907,0.155,10,40 or more weeks,en vi,,1
0,d4HUR3,easy-turtle-horse-distractor,2025-01-24 02:47:22.675,392.0,2025-01-24 02:47:30.308,480,f,horse,turtle,horse,where,easy-distractor,2,3.149748,4.029907000000001,0.169,10,39 weeks,en,,1
0,cZRGZV,easy-snail-cow-distractor,2025-01-27 01:03:58.775,294.0,2025-01-27 01:04:06.320,630,f,cow,snail,cow,where,easy-distractor,2,3.1607480000000003,4.040907000000001,0.18,10,39 weeks,en es,,1
0,HKHYFS,easy-cheese-mud-distractor,2025-01-27 22:52:18.658,3.0,2025-01-27 22:52:26.070,690,f,cheese,mud,mud,find,easy-distractor,2,3.125748,4.0059070000000006,0.145,10,39 weeks,en,,1
0,FHRCdd,hard-cheese-butter,2025-01-24 17:27:47.509,196.0,2025-01-24 17:27:54.935,540,m,butter,cheese,cheese,find,hard,2,3.1487480000000003,4.128068000000001,0.168,10,39 weeks,en ur,,1
0,L7Y4Y6,hard-squirrel-monkey-distractor,2025-01-27 13:45:20.729,329.0,2025-01-27 13:45:28.303,510,m,squirrel,monkey,monkey,where,hard-distractor,2,3.114748,4.094068,0.134,10,40 or more weeks,en,,1
0,VcKZT3,hard-turkey-goat,2025-01-28 02:50:15.455,7.0,2025-01-28 02:50:22.736,690,f,turkey,goat,turkey,see,hard,2,3.2257480000000003,4.205068000000001,0.245,10,39 weeks,en,,1
0,MGVZH3,hard-squirrel-monkey,2025-01-29 20:00:42.509,599.0,2025-01-29 20:00:50.386,720,f,squirrel,monkey,squirrel,find,hard,2,3.127748,4.107068,0.147,10,40 or more weeks,en fr cmn,,1
0,UUQJAd,hard-acorn-coconut-distractor,2025-01-24 13:26:40.711,258.0,2025-01-24 13:26:48.227,570,f,acorn,coconut,coconut,find,hard-distractor,2,3.258748,4.381515,0.278,10,38 weeks,en fr,,1
0,UQBHFH,hard-snail-worm,2025-01-24 14:10:05.593,154.0,2025-01-24 14:10:12.994,510,f,worm,snail,snail,look_at,hard,2,3.1367480000000003,4.016907000000001,0.156,10,40 or more weeks,en fr es,,1
0,YLPTX3,hard-squirrel-monkey-distractor,2025-01-29 17:35:49.380,316.0,2025-01-29 17:35:56.955,750,f,squirrel,monkey,monkey,look_at,hard-distractor,2,3.114748,4.094068,0.134,10,37 weeks,en,,1
0,NPV5EF,easy-acorn-key-distractor,2025-01-23 18:00:21.539,2.0,2025-01-23 18:00:28.796,570,m,acorn,key,key,look_at,easy-distractor,2,3.275748,4.155907,0.295,10,39 weeks,en hak cmn ru,,1
0,QWGKVS,easy-turtle-horse,2025-01-24 16:54:06.273,187.0,2025-01-24 16:54:13.728,750,m,horse,turtle,turtle,look_at,easy,2,3.231748,4.211068,0.251,10,39 weeks,en,,1
0,FHADJV,easy-snail-cow,2025-01-29 17:19:53.583,10.0,2025-01-29 17:20:00.859,630,f,cow,snail,snail,look_at,easy,2,3.1367480000000003,4.016907000000001,0.156,10,40 or more weeks,en,,1
0,QGVDBW,hard-acorn-coconut,2025-01-27 14:55:13.647,576.0,2025-01-27 14:55:21.481,480,m,acorn,coconut,acorn,where,hard,2,3.1567480000000003,4.136068,0.176,10,40 or more weeks,en ru,,1
0,HEYJKC,easy-acorn-key,2025-01-27 14:00:41.959,211.0,2025-01-27 14:00:49.424,600,m,key,acorn,acorn,see,easy,2,3.216748,4.196068,0.236,10,39 weeks,en,,1
0,QGTESM,hard-squirrel-monkey-distractor,2025-01-25 17:25:06.247,11.0,2025-01-25 17:25:13.600,630,m,monkey,squirrel,monkey,see,hard-distractor,2,3.1697480000000002,4.149068,0.189,10,39 weeks,en,,1
