"","Trials.trialID","AoA_Est_distractor","AoA_Est_target","Trials.targetImage","Trials.distractorImage","Trials.imagePair","mean_value","sd_value","N","se","ci","lower_ci","upper_ci"
"1","easy-acorn-key",3.58,5.95,"acorn","key","acorn-key",0.039057390178365,0.424071192645423,80,0.0474126007027287,0.0943724210363036,-0.0553150308579386,0.133429811214669
"2","easy-acorn-key-distractor",5.95,3.58,"key","acorn","acorn-key",0.0997095563485392,0.36651851417786,78,0.0415000496192391,0.082637156213146,0.0170724001353932,0.182346712561685
"3","easy-bulldozer-orange",3.26,5.61,"bulldozer","orange","bulldozer-orange",-0.0444420334265233,0.352966922406683,81,0.0392185469340758,0.078047395688255,-0.122489429114778,0.0336053622617317
"4","easy-bulldozer-orange-distractor",5.61,3.26,"orange","bulldozer","bulldozer-orange",0.136144769868278,0.358974098554556,81,0.0398860109505062,0.0793756914123567,0.0567690784559212,0.215520461280635
"5","easy-cheese-mud",4.05,4.33,"cheese","mud","cheese-mud",0.14827264549201,0.360101840438724,77,0.0410374133205735,0.0817330920812534,0.0665395534107565,0.230005737573263
"6","easy-cheese-mud-distractor",4.33,4.05,"mud","cheese","cheese-mud",-0.0116456515145282,0.442728155387944,73,0.0518174112026317,0.103296121351183,-0.114941772865711,0.0916504698366549
"7","easy-potato-glasses",4.346085,4.84,"potato","glasses","potato-glasses",0.173130985513996,0.312227455572861,80,0.0349080907551357,0.0694828165822922,0.103648168931704,0.242613802096288
"8","easy-potato-glasses-distractor",4.84,4.346085,"glasses","potato","potato-glasses",0.183273966252115,0.36610508368459,73,0.0428493589887798,0.0854186359989478,0.0978553302531667,0.268692602251062
"9","easy-snail-cow",3.94,5.79,"snail","cow","snail-cow",0.0330182575584635,0.370144841693212,78,0.0419106503556311,0.0834547667342361,-0.0504365091757726,0.1164730242927
"10","easy-snail-cow-distractor",5.79,3.94,"cow","snail","snail-cow",0.0727656284643089,0.32763396001171,75,0.0378319110016847,0.0753817281766708,-0.00261609971236192,0.14814735664098
"11","easy-squirrel-eagle",5.83,4.44,"squirrel","eagle","squirrel-eagle",0.12532373303169,0.391458308740112,73,0.0458167295343998,0.0913339810704269,0.033989751961263,0.216657714102117
"12","easy-squirrel-eagle-distractor",4.44,5.83,"eagle","squirrel","squirrel-eagle",0.0201701419182004,0.358683811727787,80,0.0401020692726033,0.0798211722143165,-0.0596510302961161,0.0999913141325169
"13","easy-turkey-swan",6.31763,3.95,"turkey","swan","turkey-swan",0.0386421243331408,0.32845669322755,79,0.0369542651528488,0.073570290459639,-0.0349281661264981,0.11221241479278
"14","easy-turkey-swan-distractor",3.95,6.31763,"swan","turkey","turkey-swan",-0.0067481929350013,0.360634425210741,77,0.0410981069882063,0.0818539739966564,-0.0886021669316577,0.0751057810616551
"15","easy-turtle-horse",4.15,4.17,"turtle","horse","turtle-horse",0.0422586162462439,0.366619109420735,77,0.041780125050706,0.0832123306910201,-0.0409537144447762,0.125470946937264
"16","easy-turtle-horse-distractor",4.17,4.15,"horse","turtle","turtle-horse",0.106675420483829,0.39872729108778,84,0.0435047141203439,0.0865291266333825,0.0201462938504469,0.193204547117212
"17","hard-acorn-coconut",6.5,5.95,"acorn","coconut","acorn-coconut",-0.0198209172584991,0.354347054950325,73,0.0414731858169564,0.0826752849195004,-0.102496202177999,0.0628543676610013
"18","hard-acorn-coconut-distractor",5.95,6.5,"coconut","acorn","acorn-coconut",-0.0250651477760505,0.343571371853131,70,0.0410646332987128,0.0819217019223271,-0.106986849698378,0.0568565541462766
"19","hard-bulldozer-tractor",5.5,5.61,"bulldozer","tractor","bulldozer-tractor",-0.00876785084294896,0.329025569125496,84,0.0358996327641312,0.0714029256909154,-0.0801707765338644,0.0626350748479665
"20","hard-bulldozer-tractor-distractor",5.61,5.5,"tractor","bulldozer","bulldozer-tractor",0.0244101003237043,0.312135767192932,87,0.0334644668578754,0.0665251583603226,-0.0421150580366183,0.0909352586840269
"21","hard-cheese-butter",5.78,4.33,"cheese","butter","cheese-butter",0.00896277550648525,0.361142317210468,77,0.0411559866532744,0.081969251340228,-0.0730064758337427,0.0909320268467132
"22","hard-cheese-butter-distractor",4.33,5.78,"butter","cheese","cheese-butter",-0.00286915900009787,0.337978126735276,76,0.0387687499885856,0.0772313103602357,-0.0801004693603336,0.0743621513601379
"23","hard-potato-pot",5.95,4.84,"potato","pot","potato-pot",0.122073623146481,0.316399758901856,76,0.0362935414424691,0.0723004420839123,0.049773181062569,0.194374065230394
"24","hard-potato-pot-distractor",4.84,5.95,"pot","potato","potato-pot",-0.022875655414696,0.336285982592397,77,0.0383233444315253,0.0763275554142474,-0.0992032108289434,0.0534518999995513
"25","hard-snail-worm",3.89,5.79,"snail","worm","snail-worm",0.0248286245750107,0.36258591851747,80,0.0405383380744631,0.0806895435426952,-0.0558609189676845,0.105518168117706
"26","hard-snail-worm-distractor",5.79,3.89,"worm","snail","snail-worm",-0.0350646866365054,0.386220148545062,72,0.0455164810111815,0.0907572854399167,-0.125821972076422,0.0556925988034113
"27","hard-squirrel-monkey",4.21,4.44,"squirrel","monkey","squirrel-monkey",0.120190461507451,0.370142717717979,82,0.0408754251830875,0.0813292744522751,0.0388611870551758,0.201519735959726
"28","hard-squirrel-monkey-distractor",4.44,4.21,"monkey","squirrel","squirrel-monkey",0.0647993638831353,0.353605461568841,74,0.0411057999542961,0.0819237411663154,-0.0171243772831801,0.146723105049451
"29","hard-turkey-goat",5.21,3.95,"turkey","goat","turkey-goat",0.126604454526515,0.388285435888646,75,0.0448353401865442,0.089336365442923,0.0372680890835921,0.215940819969438
"30","hard-turkey-goat-distractor",3.95,5.21,"goat","turkey","turkey-goat",0.0589762411201443,0.381793151566749,72,0.0449947544139053,0.0897169921514491,-0.0307407510313048,0.148693233271593
"31","hard-turtle-frog",4.32,4.17,"turtle","frog","turtle-frog",0.110467281396627,0.357558850832754,80,0.0399762948209373,0.0795708244305562,0.030896456966071,0.190038105827183
"32","hard-turtle-frog-distractor",4.17,4.32,"frog","turtle","turtle-frog",0.031979388640414,0.341438803764021,75,0.0394259570529883,0.0785579342672146,-0.0465785456268006,0.110537322907629
