SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,Trials.targetAudio,length_critical_window,useable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,useable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,useable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,dev_concern_exclusion,side_bias_exclusion,exclude_participant_insufficient_data,section
VVI085,420,easy-bulldozer-orange-distractor,1,easy-distractor,orange,bulldozer,bulldozer-orange,find,94,93,0.9893617021276596,1,1,64,63,0.984375,1,1,59,57,0.9661016949152542,1,0.298245614035088,0.6779661016949152,0.288135593220339,0,0,1,1,0.701754385964912,0.701754385964912,0,NA,FALSE,7.216,30.263304396086276,0,NA,0,0,0,0,0,0,sample1
VVI054,630,hard-turkey-goat-distractor,1,hard-distractor,goat,turkey,turkey-goat,look_at,60,24,0.4,0,0.375,44,22,0.5,1,0.40909090909090906,36,36,1,1,0.4166666666666666,0.5833333333333334,0.4166666666666667,0,0,0,1,-0.04166666666666657,-0.00757575757575751,0,NA,FALSE,6.865,23.829846690730164,1,insufficient looking,0,0,0,0,0,0,sample1
VVI107,630,easy-potato-glasses-distractor,1,easy-distractor,glasses,potato,potato-glasses,see,77,73,0.948051948051948,1,0,53,49,0.9245283018867924,1,0,47,47,1,1,0,1,0,1,0,1,1,0,0,0,NA,FALSE,7.442,23.85381602000039,0,NA,0,0,0,0,0,1,sample1
VVI079,750,hard-potato-pot-distractor,1,hard-distractor,pot,potato,potato-pot,find,96,96,1,1,0.4375,66,66,1,1,0.2424242424242426,59,59,1,1,0.2033898305084745,0.2033898305084746,0.7966101694915254,0,0,1,1,0.2341101694915255,0.03903441191576809,0,NA,FALSE,7.253,29.92516654755744,0,NA,1,1,0,1,0,1,sample1
VVI055,600,easy-turkey-swan-distractor,1,easy-distractor,swan,turkey,turkey-swan,where,95,95,1,1,0.5473684210526316,67,67,1,1,0.7761194029850749,61,61,1,1,0.7049180327868851,0.29508196721311475,0.7049180327868853,0,0,1,1,-0.15754961173425353,0.07120137019818973,0,NA,FALSE,7.614,30.45405613167027,0,NA,0,0,0,0,0,1,sample1
VVI124,690,easy-squirrel-eagle,1,easy,squirrel,eagle,squirrel-eagle,look_at,96,72,0.75,1,1,66,60,0.9090909090909092,1,1,60,39,0.65,1,0.1282051282051282,0.5666666666666667,0.08333333333333333,0,0,1,1,0.8717948717948718,0.8717948717948718,0,NA,FALSE,7.566,30.00855929075675,0,NA,0,0,0,0,0,0,sample1
VVI056,570,easy-acorn-key-distractor,1,easy-distractor,key,acorn,acorn-key,see,96,96,1,1,0.42708333333333354,66,66,1,1,0.6212121212121213,60,60,1,1,1,0,1,0,1,1,1,-0.5729166666666665,-0.3787878787878787,0,NA,FALSE,7.307,29.977453829186302,0,NA,0,0,0,0,0,0,sample1
VVI078,690,hard-bulldozer-tractor,1,hard,bulldozer,tractor,bulldozer-tractor,look_at,95,83,0.8736842105263158,1,0.06024096385542174,66,55,0.8333333333333334,1,0.09090909090909095,60,58,0.9666666666666668,1,0.2586206896551724,0.25,0.7166666666666667,0,0,1,1,-0.19837972579975063,-0.16771159874608144,0,NA,FALSE,7.333,29.93979386392823,0,NA,0,0,0,0,0,0,sample1
VVI108,660,hard-bulldozer-tractor-distractor,1,hard-distractor,tractor,bulldozer,bulldozer-tractor,find,93,93,1,1,0.18279569892473127,63,63,1,1,0.2698412698412699,58,58,1,1,0.6379310344827588,0.3620689655172414,0.6379310344827587,0,0,1,1,-0.45513533555802754,-0.3680897646414889,0,NA,FALSE,7.456,30.281727371356208,0,NA,0,0,0,0,0,0,sample1
VVI057,750,hard-cheese-butter,1,hard,cheese,butter,cheese-butter,find,96,96,1,1,0.5625,66,66,1,1,0.6818181818181819,60,60,1,1,0.5,0.5,0.5,0,0,1,1,0.0625,0.18181818181818188,0,NA,FALSE,7.233,30.007310842225458,0,NA,0,0,0,0,0,0,sample1
VVI123,690,easy-turkey-swan,1,easy,turkey,swan,turkey-swan,where,96,96,1,1,0.5520833333333333,66,66,1,1,0.6060606060606063,60,60,1,1,0.5833333333333333,0.4166666666666667,0.5833333333333334,0,0,1,1,-0.03125,0.02272727272727304,0,NA,FALSE,7.439,33.48994118550961,0,NA,0,0,0,0,0,0,sample1
VVI077,480,hard-snail-worm,1,hard,snail,worm,snail-worm,where,93,93,1,1,0.3440860215053766,64,64,1,1,0.046875,58,58,1,1,0.3448275862068964,0.6551724137931034,0.3448275862068966,0,0,1,1,-7.415647015198146e-4,-0.2979525862068964,0,NA,FALSE,7.675,29.55761467476173,0,NA,0,0,0,0,0,0,sample1
VVI058,600,hard-turkey-goat,1,hard,turkey,goat,turkey-goat,see,94,93,0.9893617021276596,1,0.5053763440860213,64,63,0.984375,1,0.492063492063492,56,29,0.5178571428571429,1,1,0,0.5178571428571429,0,0,1,1,-0.4946236559139787,-0.5079365079365079,0,NA,FALSE,7.3,29.56938644483164,0,NA,0,0,0,0,0,0,sample1
VVI027,720,easy-snail-cow,1,easy,snail,cow,snail-cow,see,96,21,0.21875,0,0.47619047619047616,66,5,0.07575757575757576,0,1,60,59,0.9833333333333332,1,1,0.9833333333333332,0,1,0,0,0,-0.5238095238095238,0,0,NA,FALSE,7.296,30.288422642677332,1,insufficient looking,0,0,0,0,0,1,sample1
VVI021,630,easy-cheese-mud,1,easy,cheese,mud,cheese-mud,see,96,96,1,1,1,66,66,1,1,1,59,59,1,1,0.4067796610169492,0.4067796610169492,0.5932203389830508,0,0,1,1,0.5932203389830508,0.5932203389830508,0,NA,FALSE,7.407,29.977838801368215,0,NA,0,0,0,0,0,0,sample1
VVI125,510,hard-turtle-frog-distractor,1,hard-distractor,frog,turtle,turtle-frog,look_at,59,0,0,0,NA,39,0,0,0,NA,40,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,FALSE,7.361,19.773818989862143,1,insufficient looking,0,0,0,0,0,1,sample1
VVI081,630,easy-acorn-key,1,easy,acorn,key,acorn-key,where,48,36,0.75,1,0.4444444444444443,33,33,1,1,0.4848484848484849,30,24,0.8,1,0.5,0.4,0.4,0,0,1,1,-0.05555555555555569,-0.01515151515151508,0,NA,FALSE,7.483,14.834412990690428,0,NA,0,0,0,0,0,0,sample1
VVI053,570,easy-potato-glasses,1,easy,potato,glasses,potato-glasses,find,93,93,1,1,1,63,63,1,1,1,57,57,1,1,1,1,0,1,0,1,1,0,0,0,NA,FALSE,7.135,30.287285277956023,0,NA,0,0,0,0,0,0,sample1
VVI083,750,hard-snail-worm-distractor,1,hard-distractor,worm,snail,snail-worm,where,93,93,1,1,0.3333333333333334,64,64,1,1,0.03125,58,58,1,1,0.37931034482758624,0.3793103448275862,0.6206896551724138,0,0,1,1,-0.04597701149425282,-0.34806034482758624,0,NA,FALSE,7.705,29.575848317617417,0,NA,0,0,0,0,0,0,sample1
VVI105,480,hard-turtle-frog-distractor,1,hard-distractor,frog,turtle,turtle-frog,look_at,91,91,1,1,1,64,64,1,1,1,59,59,1,1,1,1,0,1,0,1,1,0,0,0,NA,FALSE,7.052,29.61338736395013,0,NA,0,0,0,0,0,0,sample1
VVI049,450,easy-bulldozer-orange-distractor,1,easy-distractor,orange,bulldozer,bulldozer-orange,see,95,95,1,1,0.6631578947368421,66,66,1,1,0.5151515151515148,60,60,1,1,0.5,0.5,0.5,0,0,1,1,0.16315789473684206,0.0151515151515148,0,NA,FALSE,7.274,30.37635834441851,0,NA,0,0,0,0,0,0,sample1
VVI008,450,hard-turkey-goat-distractor,1,hard-distractor,goat,turkey,turkey-goat,find,94,93,0.9893617021276596,1,0.6774193548387097,64,63,0.984375,1,0.5238095238095238,59,53,0.8983050847457628,1,0.8113207547169814,0.1694915254237288,0.7288135593220338,0,0,1,1,-0.13390139987827163,-0.28751123090745756,0,NA,FALSE,7.556,30.748432460883613,0,NA,0,0,0,0,0,0,sample1
VVI127,750,easy-squirrel-eagle-distractor,1,easy-distractor,eagle,squirrel,squirrel-eagle,where,96,92,0.9583333333333334,1,0.9565217391304348,66,62,0.9393939393939394,1,0.935483870967742,60,43,0.7166666666666667,1,0.930232558139535,0.6666666666666666,0.05,0,0,1,1,0.02628918099089994,0.0052513128282069,0,NA,FALSE,7.44,29.9792970592232,0,NA,0,0,0,0,0,0,sample1
VVI029,540,hard-squirrel-monkey,1,hard,squirrel,monkey,squirrel-monkey,see,96,96,1,1,0.39583333333333354,66,66,1,1,0.5757575757575755,60,60,1,1,0.5333333333333334,0.4666666666666667,0.5333333333333333,0,0,1,1,-0.1374999999999999,0.04242424242424203,0,NA,FALSE,7.433,30.007274006218875,0,NA,0,0,0,0,0,0,sample1
VVI050,540,hard-snail-worm,1,hard,snail,worm,snail-worm,look_at,96,96,1,1,0.4479166666666667,66,66,1,1,0.6515151515151516,59,59,1,1,0.6101694915254237,0.3898305084745763,0.6101694915254238,0,0,1,1,-0.16225282485875697,0.04134565998972794,0,NA,FALSE,7.3,29.93507661613436,0,NA,0,0,0,0,0,0,sample1
VVI122,510,hard-turtle-frog-distractor,1,hard-distractor,frog,turtle,turtle-frog,where,96,96,1,1,0.3333333333333334,66,66,1,1,0.4848484848484852,60,50,0.8333333333333334,1,0.47999999999999976,0.43333333333333335,0.4,0,0,1,1,-0.1466666666666663,0.00484848484848543,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0,1,sample1
