SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,length_critical_window,usable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,usable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,usable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,side_bias_exclusion,exclude_participant_insufficient_data
CKRG26,630,hard-bulldozer-tractor-distractor,1,hard-distractor,tractor,bulldozer,bulldozer-tractor,48,48,1,1,0.8333333333333333,22,22,1,1,0.9545454545454546,30,30,1,1,1,0,1,0,1,1,1,-0.16666666666666674,-0.045454545454545414,0,NA,FALSE,7.466,15.002099890159592,0,NA,0,0,0,0,0
dKKWAR,450,hard-turkey-goat-distractor,1,hard-distractor,goat,turkey,turkey-goat,95,94,0.9894736842105263,1,0.6808510638297873,45,44,0.9777777777777777,1,0.3181818181818181,59,53,0.8983050847457628,1,0.8301886792452832,0.15254237288135594,0.7457627118644068,0,0,1,1,-0.14933761541549584,-0.512006861063465,0,NA,FALSE,7.556,30.748432460883613,0,NA,0,0,0,0,0
XMJ25D,690,easy-turkey-swan,1,easy,turkey,swan,turkey-swan,95,95,1,1,0.7263157894736842,44,44,1,1,0.9318181818181819,60,60,1,1,0.5833333333333331,0.5833333333333334,0.4166666666666667,0,0,1,1,0.1429824561403511,0.34848484848484873,0,NA,FALSE,7.375,30.638853924609595,0,NA,0,0,0,0,0
GNXMNQ,660,easy-potato-glasses-distractor,1,easy-distractor,glasses,potato,potato-glasses,81,73,0.9012345679012346,1,0.6712328767123286,38,38,1,1,0.894736842105263,54,54,1,1,1,1,0,1,0,1,1,-0.32876712328767144,-0.10526315789473695,0,NA,FALSE,6.832,28.49409339988365,0,NA,0,0,0,0,0
d4HUR3,480,easy-turtle-horse-distractor,1,easy-distractor,horse,turtle,turtle-horse,49,49,1,1,0,23,23,1,1,0,30,30,1,1,0.9666666666666667,0.03333333333333333,0.9666666666666667,0,1,1,1,-0.9666666666666667,-0.9666666666666667,0,NA,FALSE,7.558,15.084069286740144,0,NA,0,0,0,0,0
UUQJAd,570,hard-acorn-coconut-distractor,1,hard-distractor,coconut,acorn,acorn-coconut,96,96,1,1,0.11458333333333333,43,43,1,1,0.2558139534883719,60,37,0.6166666666666667,1,0,0,0.6166666666666667,0,0,1,1,0.11458333333333333,0.2558139534883719,0,NA,FALSE,7.458,62.12087483767417,0,NA,0,0,0,0,0
UQBHFH,510,hard-snail-worm,1,hard,snail,worm,snail-worm,96,57,0.59375,1,0.03508771929824557,45,14,0.3111111111111111,0,0.1428571428571429,60,23,0.38333333333333336,0,0.2608695652173913,0.1,0.2833333333333333,0,0,0,0,-0.22578184591914574,-0.11801242236024839,0,NA,FALSE,7.333,30.007292173067576,1,insufficient looking,0,0,0,0,1
QWGKVS,750,easy-turtle-horse,1,easy,turtle,horse,turtle-horse,56,52,0.9285714285714286,1,0.8076923076923078,26,26,1,1,0.6153846153846155,36,12,0.3333333333333333,0,0.9166666666666666,0.3055555555555556,0.027777777777777776,0,0,0,0,-0.10897435897435881,-0.3012820512820511,0,NA,FALSE,6.862,22.816220128725714,1,insufficient looking,0,0,0,0,0
FHRCdd,540,hard-cheese-butter,1,hard,cheese,butter,cheese-butter,96,36,0.375,0,0.7777777777777779,45,9,0.2,0,0.11111111111111109,60,60,1,1,0.8666666666666665,0.8666666666666667,0.13333333333333333,1,0,0,0,-0.08888888888888857,-0.7555555555555554,0,NA,FALSE,7.4,30.005941770647652,1,insufficient looking,0,0,0,0,0
QGTESM,630,hard-squirrel-monkey-distractor,1,hard-distractor,monkey,squirrel,squirrel-monkey,96,96,1,1,0.7083333333333334,45,45,1,1,0.6444444444444445,60,20,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0.7083333333333334,0.6444444444444445,0,NA,FALSE,7.307,29.977453829186302,1,insufficient looking,0,0,0,0,0
NPV5EF,570,easy-acorn-key-distractor,1,easy-distractor,key,acorn,acorn-key,24,23,0.9583333333333334,1,0.4782608695652174,11,11,1,1,0.8181818181818181,15,15,1,1,0.06666666666666667,0.06666666666666667,0.9333333333333333,0,1,1,1,0.41159420289855075,0.7515151515151515,0,framerate issue,TRUE,7.066,7.50079930888895,1,framerate issue,0,0,0,0,NA
6THVBG,510,easy-cheese-mud,1,easy,cheese,mud,cheese-mud,96,96,1,1,0.8645833333333334,45,45,1,1,1,59,59,1,1,0.6440677966101694,0.6440677966101694,0.3559322033898305,0,0,1,1,0.22051553672316393,0.35593220338983056,0,NA,FALSE,7.266,29.93748819175764,0,NA,0,0,0,0,0
5QCS4M,750,easy-turkey-swan-distractor,1,easy-distractor,swan,turkey,turkey-swan,97,97,1,1,0,46,46,1,1,0,60,60,1,1,0.08333333333333334,0.9166666666666666,0.08333333333333333,1,0,1,1,-0.08333333333333334,-0.08333333333333334,0,NA,FALSE,7.423,30.79613787771115,0,NA,0,0,0,0,0
