Percentile_Rank,Age_8_months,Age_9_months,Age_10_months,Age_11_months,Age_12_months,Age_13_months,Age_14_months,Age_15_months,Age_16_months,Age_17_months,Age_18_months
99,24,29,33,38,44,50,56,63,69,75,79
95,14,17,20,24,29,35,41,47,54,61,68
90,9,12,14,18,22,27,32,38,45,53,60
85,7,9,11,14,17,22,27,33,39,46,54
80,5,7,9,11,14,18,23,28,34,41,48
75,4,5,7,9,12,15,19,24,30,36,44
70,3,4,5,7,10,13,16,21,26,33,39
65,2,3,4,6,8,11,14,18,23,29,36
60,2,2,3,5,7,9,12,16,20,26,32
55,1,2,3,4,5,8,10,14,18,23,29
50,1,1,2,3,4,6,9,12,15,20,25
45,1,1,2,2,4,5,7,10,13,17,22
40,0,1,1,2,3,4,6,8,11,15,20
35,0,0,1,1,2,3,5,7,9,13,17
30,0,0,1,1,2,2,4,5,8,11,14
25,0,0,0,1,1,2,3,4,6,9,12
20,0,0,0,0,1,1,2,3,5,7,9
15,0,0,0,0,0,1,1,2,3,5,7
10,0,0,0,0,0,0,1,1,2,3,4
5,0,0,0,0,0,0,0,0,1,1,2
