Percentile_Rank,Age_8_months,Age_9_months,Age_10_months,Age_11_months,Age_12_months,Age_13_months,Age_14_months,Age_15_months,Age_16_months,Age_17_months,Age_18_months
99,7,10,15,21,29,39,51,63,75,84,88
95,4,6,9,13,19,27,36,48,61,73,83
90,3,5,7,10,15,21,29,39,51,65,77
85,3,4,6,8,12,17,24,33,44,57,71
80,2,3,5,7,10,14,20,28,39,51,65
75,2,3,4,6,8,12,17,24,34,46,59
70,2,2,3,5,7,10,15,21,30,41,54
65,1,2,3,4,6,9,13,18,26,36,48
60,1,2,2,4,5,8,11,16,23,32,43
55,1,1,2,3,4,6,9,14,20,28,38
50,1,1,2,3,4,5,8,12,17,24,33
45,1,1,1,2,3,5,7,10,14,20,29
40,1,1,1,2,3,4,6,8,12,17,24
35,0,1,1,1,2,3,5,7,10,14,20
30,0,1,1,1,2,2,4,5,8,11,16
25,0,0,1,1,1,2,3,4,6,9,12
20,0,0,0,1,1,1,2,3,4,6,9
15,0,0,0,0,1,1,1,2,3,4,6
10,0,0,0,0,0,1,1,1,2,2,3
5,0,0,0,0,0,0,0,0,1,1,1
