Percentile_Rank,Age_16_months,Age_17_months,Age_18_months,Age_19_months,Age_20_months,Age_21_months,Age_22_months,Age_23_months,Age_24_months,Age_25_months,Age_26_months,Age_27_months,Age_28_months,Age_29_months,Age_30_months
99,66,72,78,83,87,91,95,97,98,99,100,100,100,100,100
95,54,60,66,72,78,83,88,92,95,97,99,99,100,100,100
90,47,53,59,65,71,77,82,87,91,95,97,99,99,100,100
85,42,48,54,60,66,72,78,83,88,92,95,97,99,100,100
80,39,44,50,56,62,68,74,80,85,90,93,96,98,99,100
75,36,41,46,52,58,65,71,77,82,87,91,94,97,98,99
70,33,38,43,49,55,61,67,73,79,84,89,93,95,98,99
65,30,35,40,46,52,58,64,70,76,81,86,90,94,96,98
60,28,33,38,43,49,55,61,67,73,79,84,88,92,95,97
55,26,30,35,40,46,52,58,64,70,76,81,86,90,93,96
50,24,28,33,38,43,49,55,61,67,73,78,83,88,91,95
45,22,26,30,35,40,46,52,57,63,69,75,80,85,89,93
40,20,24,28,33,38,43,48,54,60,66,71,77,82,86,90
35,18,22,26,30,35,40,45,51,56,62,68,73,78,83,88
30,16,20,23,27,32,37,42,47,52,58,64,69,74,79,84
25,15,18,21,25,29,33,38,43,48,54,59,64,70,75,80
20,13,15,18,22,26,30,34,39,44,49,54,59,64,69,74
15,11,13,16,19,22,26,30,34,38,43,48,53,57,62,67
10,8,10,13,15,18,21,25,28,32,36,40,45,49,53,58
5,6,7,9,11,13,15,18,21,24,27,30,34,37,40,44
