ImagePair,MeanTargetSaliency,MaxTargetSaliency,SDTargetSaliency,MeanDistractorSaliency,MaxDistractorSaliency,SDDistractorSaliency,MeanSaliencyDiff
turkey-swan,0.5267,1,0.2381,0.4923,0.9305,0.2446,0.0344
turtle-horse,0.413,0.9046,0.2021,0.5659,1,0.2503,-0.1529
cheese-mud,0.5145,1,0.2227,0.4471,0.8355,0.212,0.0674
squirrel-eagle,0.2844,0.7786,0.1608,0.3003,1,0.1777,-0.0159
potato-glasses,0.5309,1,0.2372,0.3353,0.8359,0.2155,0.1956
bulldozer-orange,0.4353,1,0.2339,0.2738,0.5333,0.1104,0.1615
snail-cow,0.3096,0.8639,0.184,0.3674,1,0.2131,-0.0578
acorn-key,0.2335,1,0.2055,0.2838,0.7259,0.1765,-0.0503
turkey-goat,0.5193,0.9022,0.2224,0.563,1,0.2468,-0.0437
turtle-frog,0.3406,0.7561,0.1557,0.4109,1,0.2451,-0.0703
cheese-butter,0.4204,1,0.2023,0.5458,0.9863,0.2376,-0.1254
squirrel-monkey,0.3807,1,0.2113,0.291,0.7598,0.1847,0.0897
potato-pot,0.4945,1,0.2396,0.3258,0.7318,0.165,0.1687
bulldozer-tractor,0.4367,1,0.2566,0.3912,0.7854,0.1946,0.0455
snail-worm,0.3676,1,0.2143,0.5036,0.9917,0.2318,-0.136
acorn-coconut,0.2272,1,0.206,0.1273,0.3762,0.0797,0.0999
