question_group,label_code,response_label
Q1,1,sock
Q1,103,bathtub
Q1,126,shower
Q1,127,balloon
Q1,128,dresser
Q1,129,kite
Q1,130,camel
Q1,131,elephant
Q1,132,ladybug
Q1,133,cloud
Q1,134,tree
Q1,135,zipper
Q1,136,crow
Q1,137,penguin
Q1,138,seahorse
Q1,139,duck
Q1,140,chicken
Q1,141,butterfly
Q1,142,lizard
Q1,143,walrus
Q1,144,snake
Q1,145,truck
Q1,146,car
Q1,147,airplane
Q2,1,baa baa
Q2,2,meow
Q2,3,ouch
Q2,4,uh oh
Q2,5,woof woof
Q2,6,bear
Q2,7,bird
Q2,8,cat
Q2,9,dog
Q2,10,duck
Q2,11,horse
Q2,12,airplane
Q2,13,boat
Q2,14,car
Q2,15,ball
Q2,16,book
Q2,17,game
Q2,18,applesauce
Q2,19,candy
Q2,20,coke
Q2,21,cracker
Q2,22,juice
Q2,23,meat
Q2,24,milk
Q2,25,peas
Q2,26,hat
Q2,27,necklace
Q2,28,shoe
Q2,29,sock
Q2,30,chin
Q2,31,ear
Q2,32,hand
Q2,33,leg
Q2,34,broom
Q2,35,comb
Q2,36,mop
Q2,37,plate
Q2,38,trash
Q2,39,tray
Q2,40,towel
Q2,41,bed
Q2,42,bedroom
Q2,43,bench
Q2,44,oven
Q2,45,stairs
Q2,46,flag
Q2,47,rain
Q2,48,star
Q2,49,swing
Q2,50,school
Q2,51,sky
Q2,52,party
Q2,53,friend
Q2,54,mommy
Q2,55,person
Q2,56,bye
Q2,57,hi
Q2,58,no
Q2,59,shopping
Q2,60,thank you
Q2,61,carry
Q2,62,chase
Q2,63,dump
Q2,64,finish
Q2,65,fit
Q2,66,hug
Q2,67,listen
Q2,68,like
Q2,69,pretend
Q2,70,rip
Q2,71,shake
Q2,72,taste
Q2,73,gentle
Q2,74,think
Q2,75,wish
Q2,76,all gone
Q2,77,cold
Q2,78,fast
Q2,79,happy
Q2,80,hot
Q2,81,last
Q2,82,tiny
Q2,83,wet
Q2,84,after
Q2,85,day
Q2,86,tonight
Q2,87,our
Q2,88,them
Q2,89,this
Q2,90,us
Q2,91,where
Q2,92,beside
Q2,93,down
Q2,94,under
Q2,95,all
Q2,96,much
Q2,97,could
Q2,98,need
Q2,99,would
Q2,100,if
