Trials.trialID,Trials.targetImage,Trials.distractorImage,Trials.imagePair,image_similarity,text_similarity,multimodal_similarity,stimuli_id,row_id,MeanTargetSaliency,MeanDistractorSaliency,MeanSaliencyDiff,AoA_Est_target,AoA_Est_distractor,recognizability_target,recognizability_distractor,AoA_target_WB,AoA_distractor_WB,cor,animacy,wordPairing,image_sim_zscore,text_sim_zscore
easy-bulldozer-orange-distractor,orange,bulldozer,bulldozer-orange,0.5078125,0.70947265625,0.1751708984375,502140,502140_1,0.2738,0.4353,-0.1615,3.26,5.61,1,0.625,NA,NA,0.676481922158867,0,easy,-0.16,-0.064
hard-turkey-goat-distractor,goat,turkey,turkey-goat,0.72412109375,0.83740234375,0.30810546875,69746,69746_1,0.563,0.5193,0.0437,5.21,3.95,0.944,0.714,NA,28,0.843933749023628,1,hard,0.09485,-0.005436
easy-potato-glasses-distractor,glasses,potato,potato-glasses,0.53955078125,0.7607421875,0.30029296875,415297,415297_1,0.3353,0.5309,-0.1956,4.346085,4.84,1,1,25,26,0.748706532324506,0,easy,-0.05615,-0.07513
hard-acorn-coconut,acorn,coconut,acorn-coconut,0.76220703125,0.818359375,0.312255859375,802331,802331_0,0.2272,0.1273,0.0999,5.95,6.5,1,1,NA,NA,0.840463717341016,0,hard,0.2866,0.256
hard-potato-pot-distractor,pot,potato,potato-pot,0.583984375,0.81982421875,0.390869140625,962545,962545_1,0.3258,0.4945,-0.1687,5.95,4.84,0.235,1,NA,26,0.892743206432639,0,hard,-0.01396,0.0654
easy-turkey-swan-distractor,swan,turkey,turkey-swan,0.72705078125,0.85498046875,0.273681640625,247514,247514_1,0.4923,0.5267,-0.0344,6.31763,3.95,0.857,0.714,NA,28,0.81002739111313,1,easy,0.1659,0.2268
easy-squirrel-eagle,squirrel,eagle,squirrel-eagle,0.6640625,0.81591796875,0.279541015625,756250,756250_0,0.2844,0.3003,-0.0159,4.44,5.83,0.714,0.933,26,NA,0.829295537867302,1,easy,0.006603,0.06192
easy-acorn-key-distractor,key,acorn,acorn-key,0.61572265625,0.74462890625,0.34423828125,94476,94476_1,0.2838,0.2335,0.0503,3.58,5.95,1,1,NA,NA,0.759918872230142,0,easy,-0.01826,-0.03293
hard-bulldozer-tractor,bulldozer,tractor,bulldozer-tractor,0.69091796875,0.85791015625,0.263671875,303432,303432_0,0.4367,0.3912,0.0455,5.61,5.5,0.625,0.923,NA,26,0.843374916351666,0,hard,0.2603,0.4644
hard-bulldozer-tractor-distractor,tractor,bulldozer,bulldozer-tractor,0.69091796875,0.85791015625,0.38720703125,303432,303432_1,0.3912,0.4367,-0.0455,5.5,5.61,0.923,0.625,26,NA,0.843374916351666,0,hard,0.2603,0.4644
hard-cheese-butter,cheese,butter,cheese-butter,0.8427734375,0.9052734375,0.595703125,421098,421098_0,0.4204,0.5458,-0.1254,4.33,5.78,0.4375,0.7,19,26,0.888976421471292,0,hard,0.555,0.4854
easy-cheese-mud-distractor,mud,cheese,cheese-mud,0.45068359375,0.78466796875,0.1539306640625,108177,108177_1,0.4471,0.5145,-0.0674,4.05,4.33,0.75,0.4375,NA,19,0.807120908420862,0,easy,-0.09766,-0.10077
easy-turkey-swan,turkey,swan,turkey-swan,0.72705078125,0.85498046875,0.255615234375,247514,247514_0,0.5267,0.4923,0.0344,3.95,6.31763,0.714,0.857,28,NA,0.81002739111313,1,easy,0.1659,0.2268
hard-snail-worm,snail,worm,snail-worm,0.68896484375,0.89013671875,0.252685546875,839335,839335_0,0.3676,0.5036,-0.136,5.79,3.89,1,0.923,NA,NA,0.8666621844034,1,hard,0.133,0.3625
hard-turkey-goat,turkey,goat,turkey-goat,0.72412109375,0.83740234375,0.219970703125,69746,69746_0,0.5193,0.563,-0.0437,3.95,5.21,0.714,0.944,28,NA,0.843933749023628,1,hard,0.09485,-0.005436
easy-snail-cow,snail,cow,snail-cow,0.64599609375,0.7919921875,0.160400390625,162500,162500_0,0.3096,0.3674,-0.0578,5.79,3.94,1,1,NA,21,0.763846896622552,1,easy,-0.09863,-0.2491
easy-cheese-mud,cheese,mud,cheese-mud,0.45068359375,0.78466796875,0.37744140625,108177,108177_0,0.5145,0.4471,0.0674,4.33,4.05,0.4375,0.75,19,NA,0.807120908420862,0,easy,-0.09766,-0.10077
hard-turtle-frog-distractor,frog,turtle,turtle-frog,0.73974609375,0.88671875,0.240234375,20779,20779_1,0.4109,0.3406,0.0703,4.32,4.17,1,0.846,23,24,0.876968665571386,1,hard,0.1876,0.3293
easy-acorn-key,acorn,key,acorn-key,0.61572265625,0.74462890625,0.1505126953125,94476,94476_0,0.2335,0.2838,-0.0503,5.95,3.58,1,1,NA,NA,0.759918872230142,0,easy,-0.01826,-0.03293
easy-potato-glasses,potato,glasses,potato-glasses,0.53955078125,0.7607421875,0.26123046875,415297,415297_0,0.5309,0.3353,0.1956,4.84,4.346085,1,1,26,25,0.748706532324506,0,easy,-0.05615,-0.07513
hard-snail-worm-distractor,worm,snail,snail-worm,0.68896484375,0.89013671875,0.406982421875,839335,839335_1,0.5036,0.3676,0.136,3.89,5.79,0.923,1,NA,NA,0.8666621844034,1,hard,0.133,0.3625
easy-squirrel-eagle-distractor,eagle,squirrel,squirrel-eagle,0.6640625,0.81591796875,0.2239990234375,756250,756250_1,0.3003,0.2844,0.0159,5.83,4.44,0.933,0.714,NA,26,0.829295537867302,1,easy,0.006603,0.06192
hard-squirrel-monkey,squirrel,monkey,squirrel-monkey,0.68408203125,0.87109375,0.28466796875,576089,576089_0,0.3807,0.291,0.0897,4.44,4.21,0.714,0.823,26,22,0.87317787713891,1,hard,0.1747,0.3093
easy-turtle-horse,turtle,horse,turtle-horse,0.6337890625,0.83447265625,0.251708984375,318031,318031_0,0.413,0.5659,-0.1529,4.17,4.15,0.846,0.9375,24,22,0.829943892616427,1,easy,0.003832,-0.10406
easy-turtle-horse-distractor,horse,turtle,turtle-horse,0.6337890625,0.83447265625,0.230224609375,318031,318031_1,0.5659,0.413,0.1529,4.15,4.17,0.9375,0.846,22,24,0.829943892616427,1,easy,0.003832,-0.10406
hard-potato-pot,potato,pot,potato-pot,0.583984375,0.81982421875,0.23828125,962545,962545_0,0.4945,0.3258,0.1687,4.84,5.95,1,0.235,26,NA,0.892743206432639,0,hard,-0.01396,0.0654
hard-squirrel-monkey-distractor,monkey,squirrel,squirrel-monkey,0.68408203125,0.87109375,0.38720703125,576089,576089_1,0.291,0.3807,-0.0897,4.21,4.44,0.823,0.714,22,26,0.87317787713891,1,hard,0.1747,0.3093
easy-snail-cow-distractor,cow,snail,snail-cow,0.64599609375,0.7919921875,0.2181396484375,162500,162500_1,0.3674,0.3096,0.0578,3.94,5.79,1,1,21,NA,0.763846896622552,1,easy,-0.09863,-0.2491
hard-acorn-coconut-distractor,coconut,acorn,acorn-coconut,0.76220703125,0.818359375,0.376220703125,802331,802331_1,0.1273,0.2272,-0.0999,6.5,5.95,1,1,NA,NA,0.840463717341016,0,hard,0.2866,0.256
easy-bulldozer-orange,bulldozer,orange,bulldozer-orange,0.5078125,0.70947265625,0.2232666015625,502140,502140_0,0.4353,0.2738,0.1615,5.61,3.26,0.625,1,NA,NA,0.676481922158867,0,easy,-0.16,-0.064
hard-turtle-frog,turtle,frog,turtle-frog,0.73974609375,0.88671875,0.42578125,20779,20779_0,0.3406,0.4109,-0.0703,4.17,4.32,0.846,1,24,23,0.876968665571386,1,hard,0.1876,0.3293
hard-cheese-butter-distractor,butter,cheese,cheese-butter,0.8427734375,0.9052734375,0.27197265625,421098,421098_1,0.5458,0.4204,0.1254,5.78,4.33,0.7,0.4375,26,19,0.888976421471292,0,hard,0.555,0.4854
