,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,ZPX2dD,easy-acorn-key,2025-01-05 14:46:42.933,235.0,2025-01-05 14:46:50.413,600,m,key,acorn,acorn,see,easy,2,2.980748,3.960068,10,39 weeks,en,,1
0,AWMRW7,easy-cheese-mud-distractor,2025-01-05 16:10:50.212,469.0,2025-01-05 16:10:57.936,720,f,mud,cheese,mud,where,easy-distractor,2,2.980748,3.860907,10,39 weeks,en,,1
0,M7RZU2,hard-turtle-frog-distractor,2025-01-05 16:26:15.654,306.0,2025-01-05 16:26:23.227,510,f,turtle,frog,frog,look_at,hard-distractor,2,2.980748,3.860907,10,40 or more weeks,en egy,,1
0,QcRBVD,hard-bulldozer-tractor,2025-01-05 19:52:06.156,60.0,2025-01-05 19:52:13.504,510,m,bulldozer,tractor,bulldozer,find,hard,2,2.980748,4.103515,10,40 or more weeks,en,,1
0,CS7F6L,hard-potato-pot,2025-01-06 14:04:44.943,352.0,2025-01-06 14:04:52.674,540,m,pot,potato,potato,see,hard,2,2.980748,4.103515,10,39 weeks,en es,,1
0,M7RZU2,easy-potato-glasses,2025-01-05 16:26:27.410,16.0,2025-01-05 16:26:34.687,510,f,potato,glasses,potato,see,easy,2,2.980748,4.103515,11,40 or more weeks,en egy,,2
0,AWMRW7,easy-potato-glasses,2025-01-05 16:10:59.920,123.0,2025-01-05 16:11:07.316,720,f,potato,glasses,potato,find,easy,2,2.980748,4.103515,11,39 weeks,en,,2
0,CS7F6L,hard-snail-worm-distractor,2025-01-06 14:04:54.733,360.0,2025-01-06 14:05:02.523,540,m,snail,worm,worm,where,hard-distractor,2,2.980748,3.860907,11,39 weeks,en es,,2
0,QcRBVD,hard-squirrel-monkey,2025-01-05 19:52:18.942,109.0,2025-01-05 19:52:26.324,510,m,squirrel,monkey,squirrel,see,hard,2,2.980748,3.960068,11,40 or more weeks,en,,2
0,ZPX2dD,easy-snail-cow-distractor,2025-01-05 14:46:51.036,154.0,2025-01-05 14:46:58.453,600,m,cow,snail,cow,where,easy-distractor,2,2.980748,3.860907,11,39 weeks,en,,2
0,M7RZU2,hard-cheese-butter,2025-01-05 16:26:41.529,31.0,2025-01-05 16:26:48.827,510,f,butter,cheese,cheese,where,hard,2,2.980748,3.960068,12,40 or more weeks,en egy,,3
0,QcRBVD,easy-cheese-mud,2025-01-05 19:52:31.803,70.0,2025-01-05 19:52:39.115,510,m,cheese,mud,cheese,where,easy,2,2.980748,3.960068,12,40 or more weeks,en,,3
0,CS7F6L,easy-turkey-swan,2025-01-06 14:05:04.536,319.0,2025-01-06 14:05:12.275,540,m,swan,turkey,turkey,look_at,easy,2,2.980748,3.960068,12,39 weeks,en es,,3
0,ZPX2dD,easy-bulldozer-orange,2025-01-05 14:47:01.709,155.0,2025-01-05 14:47:09.132,600,m,orange,bulldozer,bulldozer,find,easy,2,2.980748,4.103515,12,39 weeks,en,,3
0,AWMRW7,hard-bulldozer-tractor-distractor,2025-01-05 16:11:09.333,132.0,2025-01-05 16:11:16.736,720,f,bulldozer,tractor,tractor,look_at,hard-distractor,2,2.980748,3.960068,12,39 weeks,en,,3
0,AWMRW7,hard-snail-worm-distractor,2025-01-05 16:11:18.810,179.0,2025-01-05 16:11:26.256,720,f,worm,snail,worm,see,hard-distractor,2,2.980748,3.860907,13,39 weeks,en,,4
0,ZPX2dD,hard-turkey-goat,2025-01-05 14:47:12.418,157.0,2025-01-05 14:47:19.832,600,m,turkey,goat,turkey,look_at,hard,2,2.980748,3.960068,13,39 weeks,en,,4
0,M7RZU2,hard-acorn-coconut-distractor,2025-01-05 16:26:52.241,18.0,2025-01-05 16:26:59.517,510,f,acorn,coconut,coconut,find,hard-distractor,2,2.980748,4.103515,13,40 or more weeks,en egy,,4
0,QcRBVD,easy-turtle-horse,2025-01-05 19:52:44.512,123.0,2025-01-05 19:52:51.937,510,m,horse,turtle,turtle,look_at,easy,2,2.980748,3.960068,13,40 or more weeks,en,,4
0,CS7F6L,hard-turtle-frog-distractor,2025-01-06 14:05:14.103,327.0,2025-01-06 14:05:21.839,540,m,frog,turtle,frog,find,hard-distractor,2,2.980748,3.860907,13,39 weeks,en es,,4
0,CS7F6L,easy-cheese-mud,2025-01-06 14:05:29.516,234.0,2025-01-06 14:05:37.161,540,m,mud,cheese,cheese,see,easy,2,2.980748,3.960068,15,39 weeks,en es,,5
0,AWMRW7,easy-turtle-horse-distractor,2025-01-05 16:11:40.711,4.0,2025-01-05 16:11:47.956,720,f,turtle,horse,horse,find,easy-distractor,2,2.980748,3.860907,15,39 weeks,en,,5
0,QcRBVD,easy-snail-cow,2025-01-05 19:53:03.002,60.0,2025-01-05 19:53:10.331,510,m,snail,cow,snail,see,easy,2,2.980748,3.860907,15,40 or more weeks,en,,5
0,M7RZU2,hard-snail-worm-distractor,2025-01-05 16:27:14.570,13.0,2025-01-05 16:27:21.837,510,f,worm,snail,worm,look_at,hard-distractor,2,2.980748,3.860907,15,40 or more weeks,en egy,,5
