Trials.trialID,Trials.targetImage,Trials.distractorImage,Trials.imagePair,image_similarity,text_similarity,multimodal_similarity,stimuli_id,row_id,MeanTargetSaliency,MeanDistractorSaliency,MeanSaliencyDiff,X.1,AoA_Est_target,AoA_Est_distractor,recognizability_target,recognizability_distractor,AoA_target_WB,AoA_distractor_WB,cor,animacy,wordPairing,section
hard-truck-car,truck,car,truck-car,NA,NA,NA,NA,NA,NA,NA,NA,32,3.79,3.37,NA,NA,NA,NA,NA,0,hard,sample2
easy-camel-ladybug,camel,ladybug,camel-ladybug,NA,NA,NA,NA,NA,NA,NA,NA,21,5.11,4.84,NA,NA,NA,NA,NA,1,easy,sample2
hard-cloud-tree,cloud,tree,cloud-tree,NA,NA,NA,NA,NA,NA,NA,NA,24,3.63,3.57,NA,NA,NA,NA,NA,0,hard,sample2
hard-lizard-snake-distractor,snake,lizard,lizard-snake,NA,NA,NA,NA,NA,NA,NA,NA,30,5.1,5.42,NA,NA,NA,NA,NA,1,hard,sample2
hard-balloon-kite-distractor,kite,balloon,balloon-kite,NA,NA,NA,NA,NA,NA,NA,NA,18,4.58,4.37,NA,NA,NA,NA,NA,0,hard,sample2
easy-lizard-walrus,lizard,walrus,lizard-walrus,NA,NA,NA,NA,NA,NA,NA,NA,29,5.42,5.06,NA,NA,NA,NA,NA,1,easy,sample2
easy-bathtub-sock-distractor,sock,bathtub,bathtub-sock,NA,NA,NA,NA,NA,NA,NA,NA,19,2.94,3.22,NA,NA,NA,NA,NA,0,easy,sample2
hard-camel-elephant-distractor,elephant,camel,camel-elephant,NA,NA,NA,NA,NA,NA,NA,NA,22,4.8,5.11,NA,NA,NA,NA,NA,1,hard,sample2
easy-truck-airplane-distractor,airplane,truck,truck-airplane,NA,NA,NA,NA,NA,NA,NA,NA,31,3.94,3.79,NA,NA,NA,NA,NA,0,easy,sample2
easy-truck-airplane,truck,airplane,truck-airplane,NA,NA,NA,NA,NA,NA,NA,NA,31,3.79,3.94,NA,NA,NA,NA,NA,0,easy,sample2
easy-crow-seahorse-distractor,seahorse,crow,crow-seahorse,NA,NA,NA,NA,NA,NA,NA,NA,25,5.83,5.74,NA,NA,NA,NA,NA,1,easy,sample2
hard-bathtub-shower-distractor,shower,bathtub,bathtub-shower,NA,NA,NA,NA,NA,NA,NA,NA,20,4.72,3.22,NA,NA,NA,NA,NA,0,hard,sample2
