word1,word2,image_similarity,text_similarity,multimodal_similarity
tractor,bulldozer,0.6906428933143616,0.8580155372619629,0.7697689533233643
snail,worm,0.68547123670578,0.8899344801902771,0.7847859859466553
eagle,squirrel,0.6694748997688293,0.8156052827835083,0.7197803258895874
swan,turkey,0.7298382520675659,0.8553475141525269,0.7685140371322632
horse,turtle,0.6325846910476685,0.8338580131530762,0.7047367691993713
glasses,potato,0.5250989198684692,0.7607543468475342,0.6506081223487854
key,acorn,0.6122057437896729,0.7439334392547607,0.6648039817810059
turtle,frog,0.7444381713867188,0.8855512142181396,0.8011981844902039
snail,cow,0.6494131684303284,0.7920018434524536,0.6798510551452637
monkey,squirrel,0.6808866262435913,0.8711118698120117,0.7724214792251587
mud,cheese,0.4577813446521759,0.7845039963722229,0.623429536819458
bulldozer,orange,0.49420568346977234,0.7090268135070801,0.5880433320999146
cheese,butter,0.8422470688819885,0.9052186012268066,0.8797100782394409
pot,potato,0.5789602994918823,0.8194530606269836,0.7033684253692627
goat,turkey,0.7236363887786865,0.8377416729927063,0.7572322487831116
coconut,acorn,0.7686581611633301,0.8180015087127686,0.7959664463996887
