word,article_length
ball,0.211
ball2,0.228
cat,0.208
cat2,0.195
cow,0.18
cow2,0.204
crane,0.202
crane2,0.234
dog,0.234
dog2,0.23
frog,0.202
frog2,0.147
goat,0.203
goat2,0.187
horse,0.169
horse2,0.195
key,0.295
key2,0.301
mud,0.155
mud2,0.145
pot,0.328
pot2,0.258
 skirt,0.104
skirt2,0.125
snail,0.156
snail2,0.128
swan,0.165
swan2,0.13
worm,0.139
worm2,0.202
acorn,0.176
acorn2,0.236
bottle,0.276
bottle2,0.249
broccoli,0.184
broccoli2,0.189
butter,0.28
butter2,0.254
cheese,0.166
cheese2,0.168
eagle,0.323
eagle2,0.303
garlic,0.203
garlic2,0.167
glasses,0.14
glasses2,0.18
hamster,0.143
hamster2,0.192
handle,0.24
handle2,0.236
monkey,0.134
monkey2,0.189
orange,0.195
orange2,0.216
rabbit,0.226
rabbit2,0.122
rooster,0.21
rooster2,0.161
saddle,0.141
saddle2,0.15
snowball,0.118
snowball2,0.134
squirrel,0.11
squirrel2,0.147
tractor,0.192
tractor2,0.184
trophy,0.181
trophy2,0.176
turkey,0.244
turkey2,0.245
turtle,0.251
turtle2,0.269
bulldozer,0.23
bulldozer2,0.183
coconut,0.291
coconut2,0.278
marshmallow,0.12
marshmallow2,0.124
potato,0.23
potato2,0.242
silverware,0.088
silverware2,0.126
strawberry,0.12
strawberry2,0.119
watermelon,0.141
watermelon2,0.161
