Trials.trialID,Trials.targetImage,Trials.distractorImage,Trials.imagePair,image_similarity,text_similarity,multimodal_similarity,cor,animacy,AoA_Est_target,AoA_Est_distractor,recognizability_target,recognizability_distractor,AoA_target_WB,AoA_distractor_WB
hard-potato-pot,potato,pot,potato-pot,0.5789602994918823,0.8194530606269836,0.7033684253692627,0.892743206432639,0,4.84,5.95,1,0.235,26,NA
hard-bulldozer-tractor,bulldozer,tractor,bulldozer-tractor,0.6906428933143616,0.8580155372619629,0.7697689533233643,0.843374916351666,0,5.61,5.5,0.625,0.923,NA,26
hard-turtle-frog-distractor,frog,turtle,turtle-frog,0.74443817138671875,0.8855512142181396,0.8011981844902039,0.876968665571386,1,4.32,4.17,1,0.846,23,24
easy-cheese-mud-distractor,mud,cheese,cheese-mud,0.4577813446521759,0.7845039963722229,0.623429536819458,0.807120908420862,0,4.05,4.33,0.75,0.4375,NA,19
easy-acorn-key,acorn,key,acorn-key,0.6122057437896729,0.7439334392547607,0.6648039817810059,0.759918872230142,0,5.95,3.58,1,1,NA,NA
easy-snail-cow-distractor,cow,snail,snail-cow,0.6494131684303284,0.7920018434524536,0.6798510551452637,0.763846896622552,1,3.94,5.79,1,1,21,NA
hard-squirrel-monkey,squirrel,monkey,squirrel-monkey,0.6808866262435913,0.8711118698120117,0.7724214792251587,0.87317787713891,1,4.44,4.21,0.714,0.823,26,22
easy-potato-glasses,potato,glasses,potato-glasses,0.5250989198684692,0.7607543468475342,0.6506081223487854,0.748706532324506,0,4.84,4.346085,1,1,26,25
hard-snail-worm-distractor,worm,snail,snail-worm,0.68547123670578,0.8899344801902771,0.7847859859466553,0.8666621844034,1,3.89,5.79,0.923,1,NA,NA
hard-bulldozer-tractor-distractor,tractor,bulldozer,bulldozer-tractor,0.6906428933143616,0.8580155372619629,0.7697689533233643,0.843374916351666,0,5.5,5.61,0.923,0.625,26,NA
hard-cheese-butter,cheese,butter,cheese-butter,0.8422470688819885,0.9052186012268066,0.8797100782394409,0.888976421471292,0,4.33,5.78,0.4375,0.7,19,26
easy-cheese-mud,cheese,mud,cheese-mud,0.4577813446521759,0.7845039963722229,0.623429536819458,0.807120908420862,0,4.33,4.05,0.4375,0.75,19,NA
easy-bulldozer-orange,bulldozer,orange,bulldozer-orange,0.49420568346977234,0.7090268135070801,0.5880433320999146,0.676481922158867,0,5.61,3.26,0.625,1,NA,NA
easy-turkey-swan,turkey,swan,turkey-swan,0.7298382520675659,0.8553475141525269,0.7685140371322632,0.81002739111313,1,3.95,6.31763,0.714,0.857,28,NA
hard-turkey-goat,turkey,goat,turkey-goat,0.7236363887786865,0.8377416729927063,0.7572322487831116,0.843933749023628,1,3.95,5.21,0.714,0.944,28,NA
hard-acorn-coconut-distractor,coconut,acorn,acorn-coconut,0.7686581611633301,0.8180015087127686,0.7959664463996887,0.840463717341016,0,6.5,5.95,1,1,NA,NA
easy-turtle-horse,turtle,horse,turtle-horse,0.6325846910476685,0.8338580131530762,0.7047367691993713,0.829943892616427,1,4.17,4.15,0.846,0.9375,24,22
easy-turtle-horse-distractor,horse,turtle,turtle-horse,0.6325846910476685,0.8338580131530762,0.7047367691993713,0.829943892616427,1,4.15,4.17,0.9375,0.846,22,24
easy-squirrel-eagle-distractor,eagle,squirrel,squirrel-eagle,0.6694748997688293,0.8156052827835083,0.7197803258895874,0.829295537867302,1,5.83,4.44,0.933,0.714,NA,26
easy-snail-cow,snail,cow,snail-cow,0.6494131684303284,0.7920018434524536,0.6798510551452637,0.763846896622552,1,5.79,3.94,1,1,NA,21
hard-acorn-coconut,acorn,coconut,acorn-coconut,0.7686581611633301,0.8180015087127686,0.7959664463996887,0.840463717341016,0,5.95,6.5,1,1,NA,NA
easy-squirrel-eagle,squirrel,eagle,squirrel-eagle,0.6694748997688293,0.8156052827835083,0.7197803258895874,0.829295537867302,1,4.44,5.83,0.714,0.933,26,NA
easy-turkey-swan-distractor,swan,turkey,turkey-swan,0.7298382520675659,0.8553475141525269,0.7685140371322632,0.81002739111313,1,6.31763,3.95,0.857,0.714,NA,28
hard-snail-worm,snail,worm,snail-worm,0.68547123670578,0.8899344801902771,0.7847859859466553,0.8666621844034,1,5.79,3.89,1,0.923,NA,NA
hard-potato-pot-distractor,pot,potato,potato-pot,0.5789602994918823,0.8194530606269836,0.7033684253692627,0.892743206432639,0,5.95,4.84,0.235,1,NA,26
easy-acorn-key-distractor,key,acorn,acorn-key,0.6122057437896729,0.7439334392547607,0.6648039817810059,0.759918872230142,0,3.58,5.95,1,1,NA,NA
easy-bulldozer-orange-distractor,orange,bulldozer,bulldozer-orange,0.49420568346977234,0.7090268135070801,0.5880433320999146,0.676481922158867,0,3.26,5.61,1,0.625,NA,NA
hard-turtle-frog,turtle,frog,turtle-frog,0.74443817138671875,0.8855512142181396,0.8011981844902039,0.876968665571386,1,4.17,4.32,0.846,1,24,23
hard-squirrel-monkey-distractor,monkey,squirrel,squirrel-monkey,0.6808866262435913,0.8711118698120117,0.7724214792251587,0.87317787713891,1,4.21,4.44,0.823,0.714,22,26
hard-cheese-butter-distractor,butter,cheese,cheese-butter,0.8422470688819885,0.9052186012268066,0.8797100782394409,0.888976421471292,0,5.78,4.33,0.7,0.4375,26,19
hard-turkey-goat-distractor,goat,turkey,turkey-goat,0.7236363887786865,0.8377416729927063,0.7572322487831116,0.843933749023628,1,5.21,3.95,0.944,0.714,NA,28
easy-potato-glasses-distractor,glasses,potato,potato-glasses,0.5250989198684692,0.7607543468475342,0.6506081223487854,0.748706532324506,0,4.346085,4.84,1,1,25,26
