SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,length_critical_window,usable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,usable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,usable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,side_bias_exclusion,exclude_participant_insufficient_data
ZPX2dD,600,easy-acorn-key,1,easy,acorn,key,acorn-key,48,48,1,1,0.2916666666666666,22,22,1,1,0.5,30,30,1,1,0.3000000000000001,0.3,0.7,0,0,1,1,-0.008333333333333526,0.1999999999999999,0,NA,FALSE,7.197,15.11665037302537,0,NA,0,0,0,0,0
AWMRW7,720,easy-cheese-mud-distractor,1,easy-distractor,mud,cheese,cheese-mud,54,31,0.5740740740740741,1,0,26,10,0.38461538461538464,0,0,31,31,1,1,0.6451612903225806,0.3548387096774194,0.6451612903225806,0,0,1,0,-0.6451612903225806,-0.6451612903225806,0,NA,FALSE,7.104,21.358372096922697,0,NA,0,0,0,0,0
M7RZU2,510,hard-turtle-frog-distractor,1,hard-distractor,frog,turtle,turtle-frog,96,96,1,1,0.4479166666666667,45,45,1,1,0.42222222222222205,60,59,0.9833333333333333,1,0,0,0.9833333333333333,0,1,1,1,0.4479166666666667,0.42222222222222205,0,NA,FALSE,7.566,30.00855929075675,0,NA,0,0,0,0,0
QcRBVD,510,hard-bulldozer-tractor,1,hard,bulldozer,tractor,bulldozer-tractor,91,91,1,1,0.5494505494505496,40,40,1,1,0.75,54,54,1,1,0.7222222222222222,0.2777777777777778,0.7222222222222222,0,0,1,1,-0.1727716727716726,0.02777777777777779,0,NA,FALSE,7.032,29.746519266667587,0,NA,0,0,0,0,0
CS7F6L,540,hard-potato-pot,1,hard,potato,pot,potato-pot,88,84,0.9545454545454546,1,0.48809523809523825,45,45,1,1,0.288888888888889,60,38,0.6333333333333333,1,0.894736842105263,0.5666666666666667,0.06666666666666667,0,0,1,1,-0.4066416040100248,-0.6058479532163741,0,NA,FALSE,6.773,29.978135454808882,0,NA,0,0,0,0,1
M7RZU2,510,easy-potato-glasses,2,easy,potato,glasses,potato-glasses,96,65,0.6770833333333334,1,0.7538461538461538,45,45,1,1,0.6888888888888888,60,60,1,1,0.7666666666666667,0.23333333333333334,0.7666666666666667,0,0,1,1,-0.012820512820512886,-0.07777777777777795,0,NA,FALSE,7.266,30.008667353513548,0,NA,0,0,0,0,0
AWMRW7,720,easy-potato-glasses,2,easy,potato,glasses,potato-glasses,56,52,0.9285714285714286,1,0.5769230769230771,27,27,1,1,0.8888888888888888,33,33,1,1,0.8787878787878787,0.12121212121212122,0.8787878787878788,0,1,1,1,-0.3018648018648016,0.010101010101010166,0,NA,FALSE,6.783,21.417200066420712,0,NA,0,0,0,0,0
CS7F6L,540,hard-snail-worm-distractor,2,hard-distractor,worm,snail,snail-worm,86,71,0.8255813953488372,1,0.352112676056338,45,45,1,1,0,60,60,1,1,0.48333333333333334,0.48333333333333334,0.5166666666666667,0,0,1,1,-0.13122065727699533,-0.48333333333333334,0,NA,FALSE,6.706,29.979336827449206,0,NA,0,0,0,0,1
QcRBVD,510,hard-squirrel-monkey,2,hard,squirrel,monkey,squirrel-monkey,82,78,0.9512195121951219,1,0.9102564102564102,40,40,1,1,1,59,59,1,1,0.2372881355932204,0.7627118644067796,0.23728813559322035,0,0,1,1,0.6729682746631899,0.7627118644067796,0,NA,FALSE,6.775,29.632990980368312,0,NA,0,0,0,0,0
ZPX2dD,600,easy-snail-cow-distractor,2,easy-distractor,cow,snail,snail-cow,48,46,0.9583333333333334,1,0.5652173913043479,22,20,0.9090909090909091,1,1,30,25,0.8333333333333334,1,0.52,0.4,0.43333333333333335,0,0,1,1,0.045217391304347876,0.48,0,NA,FALSE,7.187,15.147468217697275,0,NA,0,0,0,0,0
