SubjectInfo.subjID,number_distinct_sessions,total_trials,total_trials_critical_window,total_trials_short,exclude_participant_insufficient_data,exclude_participant_insufficient_data_critical,exclude_participant_insufficient_data_short,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,dev_concern_exclusion,side_bias_exclusion
VVI133,1,30,30,30,0,0,0,0,0,0,0,0
VVI109,1,23,23,23,0,0,0,0,0,0,0,0
VVI120,1,13,13,13,1,1,1,1,0,0,1,0
VVI064,1,7,7,7,1,1,1,0,0,0,0,0
VVI090,1,20,20,20,0,0,0,0,0,0,0,0
VVI052,1,8,8,8,1,1,1,0,0,0,0,0
VVI065,1,32,32,32,0,0,0,0,0,0,0,0
VVI019,1,29,29,29,0,0,0,0,0,0,0,0
VVI037,1,29,29,29,0,0,0,0,0,0,0,0
VVI134,1,20,20,18,0,0,0,0,0,0,0,0
VVI104,1,28,28,27,0,0,0,0,0,0,0,0
VVI087,1,9,9,9,1,1,1,0,0,0,0,0
VVI079,1,11,11,11,1,1,1,1,1,0,1,0
VVI114,1,27,27,27,0,0,0,0,0,0,0,0
VVI057,1,27,27,27,0,0,0,0,0,0,0,0
VVI006,1,27,27,27,0,0,0,0,0,0,0,0
VVI074,1,2,2,2,1,1,1,0,0,0,0,0
VVI053,1,21,21,20,0,0,0,0,0,0,0,0
VVI083,1,31,31,31,0,0,0,0,0,0,0,0
VVI131,1,32,32,32,0,0,0,0,0,0,0,0
VVI021,1,30,30,30,0,0,0,0,0,0,0,0
VVI036,1,31,31,31,0,0,0,0,0,0,0,0
VVI050,1,27,27,27,0,0,0,0,0,0,0,0
VVI081,1,27,27,27,0,0,0,0,0,0,0,0
VVI020,1,31,31,31,0,0,0,0,0,0,0,0
VVI031,1,27,27,27,0,0,0,0,0,0,0,0
VVI077,1,18,18,18,0,0,0,0,0,0,0,0
VVI059,1,23,23,23,0,0,0,0,0,0,0,0
VVI135,1,6,6,6,1,1,1,0,0,0,0,0
VVI097,1,28,28,28,0,0,0,0,0,0,0,0
VVI044,1,29,29,29,0,0,0,0,0,0,0,0
VVI054,1,27,27,27,0,0,0,0,0,0,0,0
VVI102,1,10,10,10,1,1,1,0,0,0,0,0
VVI096,1,19,19,19,0,0,0,0,0,0,0,0
VVI043,1,26,26,26,0,0,0,0,0,0,0,0
VVI085,1,23,23,22,0,0,0,0,0,0,0,0
VVI033,1,30,30,30,0,0,0,0,0,0,0,0
VVI015,1,20,20,20,0,0,0,0,0,0,0,0
VVI106,1,28,28,28,0,0,0,0,0,0,0,0
VVI095,1,21,21,21,0,0,0,0,0,0,0,0
VVI094,1,15,15,14,1,1,1,0,0,0,0,0
VVI010,1,32,32,31,0,0,0,0,0,0,0,0
VVI025,1,31,31,31,0,0,0,0,0,0,0,0
VVI028,1,15,15,15,1,1,1,0,0,0,0,0
VVI056,1,27,27,26,0,0,0,0,0,0,0,0
VVI098,1,1,1,1,1,1,1,0,0,0,0,0
VVI038,1,20,20,20,0,0,0,0,0,0,0,0
VVI116,1,22,22,22,0,0,0,0,0,0,0,0
VVI045,1,6,6,6,1,1,1,0,0,0,0,0
VVI115,1,26,26,24,0,0,0,0,0,0,0,0
VVI068,1,29,29,29,0,0,0,0,0,0,0,0
VVI041,1,31,31,31,0,0,0,0,0,0,0,0
VVI024,1,30,30,30,0,0,0,0,0,0,0,0
VVI125,1,5,5,5,1,1,1,0,0,0,0,0
VVI122,1,3,3,3,1,1,1,0,0,0,0,0
VVI073,1,11,11,11,1,1,1,0,0,0,0,0
VVI017,1,27,27,27,0,0,0,0,0,0,0,0
VVI051,1,32,32,32,0,0,0,0,0,0,0,0
VVI035,1,29,29,29,0,0,0,0,0,0,0,0
VVI072,1,32,32,32,0,0,0,0,0,0,0,0
VVI075,1,29,29,29,0,0,0,0,0,0,0,0
VVI047,1,29,29,29,0,0,0,0,0,0,0,0
VVI086,1,20,20,19,0,0,0,0,0,0,0,0
VVI022,1,32,32,32,0,0,0,0,0,0,0,0
VVI016,1,26,26,26,0,0,0,0,0,0,0,0
VVI026,1,31,31,31,0,0,0,0,0,0,0,0
VVI014,1,28,28,28,0,0,0,0,0,0,0,0
VVI029,1,22,22,22,0,0,0,0,0,0,0,0
VVI042,1,22,22,22,0,0,0,0,0,0,0,0
VVI058,1,26,26,25,0,0,0,0,0,0,0,0
VVI113,1,30,30,29,0,0,0,0,0,0,0,0
VVI107,1,7,7,7,1,1,1,0,0,0,0,0
VVI069,1,32,32,32,0,0,0,0,0,0,0,0
VVI067,1,22,22,22,0,0,0,0,0,0,0,0
VVI099,1,28,28,28,0,0,0,0,0,0,0,0
VVI092,1,24,24,24,0,0,0,0,0,0,0,0
VVI018,1,31,31,31,0,0,0,0,0,0,0,0
VVI071,1,25,25,25,0,0,0,0,0,0,0,0
VVI060,1,30,30,30,0,0,0,0,0,0,0,0
VVI130,1,30,30,30,0,0,0,0,0,0,0,0
VVI103,1,31,31,31,0,0,0,0,0,0,0,0
VVI013,1,3,3,3,1,1,1,0,0,0,0,0
VVI101,1,10,10,9,1,1,1,0,0,0,0,0
VVI012,1,29,29,29,0,0,0,0,0,0,0,0
